epoch,cd_p_metric,cd_t_metric,dcd_metric,loss,lr,val_cd_p_metric,val_cd_t_metric,val_dcd_metric,val_loss
0,0.8524518013000488,1.6837631464004517,1.9419116973876953,7.509497165679932,6e-05,0.5680466890335083,0.6504795551300049,1.8712139129638672,6.2641215324401855
1,0.6265241503715515,0.8395416140556335,1.8805068731307983,6.4810614585876465,0.00012,0.5664195418357849,0.6440588235855103,1.9121363162994385,6.380467414855957
2,0.5637305974960327,0.6653448343276978,1.8493969440460205,6.213536739349365,0.00018,0.45831769704818726,0.4218473434448242,1.729162573814392,5.609334945678711
3,0.40550097823143005,0.33910059928894043,1.686443567276001,5.398431301116943,0.00024,0.4378432333469391,0.38498684763908386,1.7031265497207642,5.494366645812988
4,0.36526936292648315,0.27780666947364807,1.6486726999282837,5.223824977874756,0.0003,0.323158323764801,0.22050097584724426,1.6678743362426758,5.224123954772949
5,0.338286817073822,0.24360725283622742,1.6674623489379883,5.2459940910339355,0.0003,0.3161010146141052,0.206222802400589,1.647151231765747,5.14767599105835
6,0.29318296909332275,0.1792147308588028,1.5576355457305908,4.852121829986572,0.0003,0.27448901534080505,0.15263183414936066,1.4458262920379639,4.490110397338867
7,0.2901960611343384,0.17477042973041534,1.5133717060089111,4.714885234832764,0.0003,0.25455766916275024,0.1318904459476471,1.4184417724609375,4.387216091156006
8,0.2490931749343872,0.12601302564144135,1.36186683177948,4.211613655090332,0.0003,0.2388152778148651,0.11593759059906006,1.370420217514038,4.227198600769043
9,0.23504669964313507,0.11189164966344833,1.2794595956802368,3.9502711296081543,0.0003,0.21344010531902313,0.09154082834720612,1.1452022790908813,3.5271472930908203
10,0.2182619571685791,0.09624180942773819,1.147773027420044,3.5395610332489014,0.0003,0.21003937721252441,0.08868680149316788,1.081966757774353,3.3345870971679688
11,0.21143031120300293,0.09011420607566833,1.07025945186615,3.3008925914764404,0.0003,0.21329393982887268,0.0914776623249054,1.089611530303955,3.3603122234344482
12,0.21095550060272217,0.08979593217372894,1.0538709163665771,3.251408815383911,0.0003,0.22471921145915985,0.10165009647607803,1.1303415298461914,3.4926745891571045
13,0.2147071659564972,0.09308229386806488,1.0845887660980225,3.346848726272583,0.0003,0.20875835418701172,0.08767614513635635,1.032137155532837,3.1840872764587402
14,0.2110086977481842,0.08990038186311722,1.047208547592163,3.2315261363983154,0.0003,0.21139714121818542,0.08980800956487656,1.090367078781128,3.3609092235565186
15,0.2260412722826004,0.10329457372426987,1.1464073657989502,3.5425171852111816,0.0003,0.21843700110912323,0.09601549059152603,1.1612224578857422,3.5796828269958496
16,0.22120025753974915,0.09916196763515472,1.1233676671981812,3.4692656993865967,0.0003,0.20982427895069122,0.08855445683002472,1.0450427532196045,3.2236831188201904
17,0.20528607070446014,0.08513401448726654,1.0128700733184814,3.123744487762451,0.0003,0.2108205258846283,0.08945721387863159,1.0822200775146484,3.3361175060272217
18,0.2066771686077118,0.0860971063375473,1.0265673398971558,3.1657986640930176,0.0003,0.20856507122516632,0.08737988770008087,1.0524673461914062,3.2447822093963623
19,0.20564314723014832,0.0852888822555542,1.0165531635284424,3.1349480152130127,0.0003,0.20843324065208435,0.0876932293176651,1.0088670253753662,3.1142940521240234
20,0.21051974594593048,0.0893530324101448,1.0370330810546875,3.2004520893096924,0.0003,0.22876496613025665,0.10523281246423721,1.1371047496795654,3.516547441482544
21,0.20736971497535706,0.08693970739841461,1.0153305530548096,3.1329314708709717,0.0003,0.2083798348903656,0.08735806494951248,1.0247410535812378,3.16158127784729
22,0.20055139064788818,0.08116541802883148,0.9692034721374512,2.988776206970215,0.0003,0.2190684974193573,0.09672614187002182,1.1124985218048096,3.4342217445373535
23,0.20760147273540497,0.08714444190263748,1.0146076679229736,3.130967140197754,0.0003,0.2074352502822876,0.08670112490653992,1.0142219066619873,3.129366397857666
24,0.2058834284543991,0.08546630293130875,1.009430170059204,3.1137566566467285,0.0003,0.20044676959514618,0.08056920766830444,0.9888654947280884,3.047165632247925
25,0.1976419985294342,0.07859165221452713,0.9493570327758789,2.9266629219055176,0.0003,0.2019498646259308,0.08202306926250458,0.9807707071304321,3.0243353843688965
26,0.19790861010551453,0.07883044332265854,0.9556618928909302,2.9458160400390625,0.0003,0.20025038719177246,0.0803854912519455,0.9893798828125,3.048524856567383
27,0.2044820785522461,0.08429993689060211,0.9978309869766235,3.0777931213378906,0.0003,0.20385709404945374,0.08371157944202423,0.9946564435958862,3.067681312561035
28,0.2045958936214447,0.0843265950679779,0.9967079162597656,3.0744500160217285,0.0003,0.20038625597953796,0.08067258447408676,0.9763191342353821,3.009629964828491
29,0.2004639208316803,0.08074505627155304,0.9737753868103027,3.0020716190338135,0.0003,0.2021823674440384,0.08190016448497772,0.9942008852958679,3.0645029544830322
30,0.19757746160030365,0.07847952842712402,0.9502414464950562,2.929204225540161,0.0003,0.19802716374397278,0.07881759107112885,0.9552308917045593,2.944509983062744
31,0.1990249752998352,0.0796191543340683,0.9601704478263855,2.9601306915283203,0.0003,0.19718262553215027,0.07809074223041534,0.9601653814315796,2.958587169647217
32,0.1949147880077362,0.07631497085094452,0.9279065132141113,2.860034704208374,0.0003,0.19605889916419983,0.07728429138660431,0.9246605038642883,2.8512656688690186
