epoch,cd_p_metric,cd_t_metric,clump_metric,dcd_metric,loss,lr,val_cd_p_metric,val_cd_t_metric,val_clump_metric,val_dcd_metric,val_loss
0,0.6707974672317505,1.047025442123413,0.719409167766571,1.914226770401001,1.092450499534607,6e-05,0.48282304406166077,0.4692661166191101,0.39228516817092896,1.773463487625122,0.47700539231300354
1,0.5044391751289368,0.5305805802345276,0.54150390625,1.830627679824829,0.548904538154602,0.00012,0.3905329406261444,0.31482023000717163,0.49003905057907104,1.7022374868392944,0.32601189613342285
2,0.29435428977012634,0.1792519986629486,0.22331543266773224,1.399375081062317,0.18308742344379425,0.00018,0.24744561314582825,0.12297499179840088,0.16523437201976776,1.2167249917984009,0.12549139559268951
3,0.23682904243469238,0.11307656764984131,0.15754394233226776,1.1864711046218872,0.11525198072195053,0.00024,0.2269127368927002,0.10321930795907974,0.15292969346046448,1.1430970430374146,0.10558559000492096
4,0.23659300804138184,0.11315491050481796,0.15620116889476776,1.1831233501434326,0.11525915563106537,0.0003,0.22862830758094788,0.10509351640939713,0.12646484375,1.1127583980560303,0.10668385028839111
5,0.23580825328826904,0.11216457188129425,0.14848633110523224,1.1799885034561157,0.11423231661319733,0.0003,0.22037367522716522,0.09753986448049545,0.11357422173023224,1.0994454622268677,0.09916438162326813
6,0.21887889504432678,0.09653771668672562,0.12919922173023224,1.0878808498382568,0.09812132269144058,0.0003,0.21495851874351501,0.0928778424859047,0.10410156100988388,1.0634639263153076,0.09419213235378265
7,0.21956098079681396,0.09750942885875702,0.11833496391773224,1.0858100652694702,0.09889621287584305,0.0003,0.21213528513908386,0.09041635692119598,0.11708984524011612,1.0582441091537476,0.09166480600833893
8,0.22252249717712402,0.10000039637088776,0.1182861328125,1.0995794534683228,0.10131806135177612,0.0003,0.2464626282453537,0.12233822047710419,0.15566405653953552,1.2176172733306885,0.12415293604135513
9,0.2161896526813507,0.09420713782310486,0.1109619140625,1.0640318393707275,0.09545344114303589,0.0003,0.20515982806682587,0.08449359238147736,0.11083984375,1.0095146894454956,0.08557380735874176
