run,id,k,rough_mm,rough_mm_gt,rough_norm,rough_norm_gt,spread_mm,spread_mm_gt,spacing_mm,spacing_mm_gt
cd_rep05_full,083,8,1.2624934739329452,1.1493291447070864,0.31393097772096723,0.27047350154850147,5.675084524063432,5.516696366489151,4.021563858075495,4.249322532991233
cd_rep05_full,083,16,2.037519792689535,2.046487580874116,0.5066486234199904,0.4816032591043468,8.271399957799845,8.94976151980745,4.021563858075495,4.249322532991233
cd_rep05_full,083,24,2.351007086699405,2.5843393894518374,0.584600212670618,0.6081768021578345,8.964109484372168,10.37661014614634,4.021563858075495,4.249322532991233
cd_rep05_full,083,48,2.7210771694319034,3.1962229508502515,0.6766216490552174,0.752172358307744,9.794004111889508,12.627769839280809,4.021563858075495,4.249322532991233
cd_rep05_full,083,128,3.161342346091055,3.913670129076839,0.7860977613827831,0.9210103725221072,12.34701067138572,17.15239742059302,4.021563858075495,4.249322532991233
cd_rep05_full,053,8,1.2163613636392787,1.4855428489047933,0.27757406211078295,0.35272340572525596,6.060971959538112,5.91933704046787,4.382114648571937,4.211636723824093
cd_rep05_full,053,16,2.100741866933133,2.2234339304894224,0.47938998301145136,0.527926332751364,9.71741920221534,8.107395952459761,4.382114648571937,4.211636723824093
cd_rep05_full,053,24,2.604054070851336,2.475207833419982,0.5942459930161701,0.5877068692602093,10.787414083021739,9.058390068274434,4.382114648571937,4.211636723824093
cd_rep05_full,053,48,3.1848065452338963,2.813331878322389,0.7267738981388301,0.6679901574625678,12.080185520331726,11.037983380473243,4.382114648571937,4.211636723824093
cd_rep05_full,053,128,3.685898679972102,3.656684058048116,0.8411232876285606,0.8682334915932424,14.796866480181592,15.980398186596707,4.382114648571937,4.211636723824093
cd_rep05_full,070,8,1.2467910381004823,1.3077264959393695,0.28645366232548664,0.3192882262385253,5.890870947848525,5.706513201751269,4.352505141595293,4.095755460028858
cd_rep05_full,070,16,2.1240843093017174,2.16348850241219,0.4880141987662746,0.5282269714405622,8.582270155584126,8.253543203007244,4.352505141595293,4.095755460028858
cd_rep05_full,070,24,2.4905049916306155,2.537450283487882,0.5722003560271013,0.6195316854854424,9.315722230605854,9.20541882447709,4.352505141595293,4.095755460028858
cd_rep05_full,070,48,2.8757231113619586,2.938103927873055,0.6607052761132272,0.7173533567974182,10.435061832148143,10.576704658396178,4.352505141595293,4.095755460028858
cd_rep05_full,070,128,3.1190015173921126,3.561567610532716,0.7165991574794389,0.8695752579202133,13.539198724592993,13.751618227810791,4.352505141595293,4.095755460028858
cd_rep05_full,045,8,1.2410206873997498,1.4186090926079848,0.3405398647967747,0.3991737135305924,5.116141122143485,4.632723210305496,3.644274329351597,3.553864005875386
cd_rep05_full,045,16,1.9238061427659567,1.7959794918709426,0.5278982779291063,0.5053596561100142,7.134247868407705,5.554532695342527,3.644274329351597,3.553864005875386
cd_rep05_full,045,24,2.1819223778022625,1.9275791556450879,0.5987261607142726,0.5423896785184631,7.749722649506533,5.731061683751772,3.644274329351597,3.553864005875386
cd_rep05_full,045,48,2.4492408200782085,2.1564053195737234,0.6720791572554272,0.6067776696037526,8.742793744015657,6.245253621710967,3.644274329351597,3.553864005875386
cd_rep05_full,045,128,2.7724093387529756,2.939881089472074,0.760757585240915,0.8272351121516605,11.2325173399234,8.484801360350598,3.644274329351597,3.553864005875386
cd_rep05_full,044,8,1.2293231472276185,1.1597829372881245,0.2829798102858933,0.27712347569478274,5.912529563431271,5.685644758080418,4.3442079701221035,4.185076469542704
cd_rep05_full,044,16,2.125453590521431,2.1160585653961395,0.4892614730094726,0.5056200479957675,8.630313819680314,9.001604186683895,4.3442079701221035,4.185076469542704
cd_rep05_full,044,24,2.464227037707735,2.648233149142782,0.5672442605546972,0.6327801100925045,9.326177651670438,10.109892787234749,4.3442079701221035,4.185076469542704
cd_rep05_full,044,48,2.8529270880629274,3.1768708815973428,0.656719730658461,0.7590950618745741,10.278589276964322,11.990651032187294,4.3442079701221035,4.185076469542704
cd_rep05_full,044,128,3.1772850069774528,3.9329356473045705,0.7313841852944596,0.9397523978180298,13.164070639656657,16.68505654589326,4.3442079701221035,4.185076469542704
cd_rep05_full,039,8,1.223902911204632,1.437227680012592,0.3260761374374364,0.39296297613593156,5.131224109277923,4.938821829276016,3.753426794192997,3.657412446701936
cd_rep05_full,039,16,1.9228411345054925,1.863241559917821,0.5122894996860893,0.5094425600257348,7.1484512460376815,6.063894817704324,3.753426794192997,3.657412446701936
cd_rep05_full,039,24,2.167174619350553,2.0279219073560153,0.5773856100519752,0.5544690233623198,7.736580665568113,6.274142463696533,3.753426794192997,3.657412446701936
cd_rep05_full,039,48,2.4233968497859335,2.2227880475733457,0.6456491581333677,0.6077488060111296,8.674787370291888,6.750856548676444,3.753426794192997,3.657412446701936
cd_rep05_full,039,128,2.721509267230261,2.974063519622711,0.7250732241376769,0.8131605507890056,11.105424975568813,9.079683610950747,3.753426794192997,3.657412446701936
cd_rep05_full,022,8,1.0605595840594986,1.298416551404566,0.276915945920323,0.3379004701386515,5.307250558673513,5.307773548835822,3.82989712107317,3.842600606242968
cd_rep05_full,022,16,1.8489975374273202,2.0203302122968507,0.4827799491672025,0.5257715852681841,7.918012814339136,7.677577684916619,3.82989712107317,3.842600606242968
cd_rep05_full,022,24,2.2105416212184017,2.350806156061692,0.5771804179948805,0.6117747840466172,8.597449802351768,8.48964881148391,3.82989712107317,3.842600606242968
cd_rep05_full,022,48,2.5861143125492005,2.6633956804324113,0.675243807025435,0.6931232135094304,9.542659942164981,10.309029120123558,3.82989712107317,3.842600606242968
cd_rep05_full,022,128,2.9611646463415155,3.254297747258491,0.7731708066121034,0.8468998162263657,12.209277234309322,15.219328053267496,3.82989712107317,3.842600606242968
cd_rep05_full,080,8,1.1715894852633797,1.1809985275539905,0.28121145931031555,0.27508283332230093,5.80447218592661,5.794992038066962,4.166222415461868,4.293246922356194
