run,arch,stage,block,n_queries,n_keys,head_dim,eff_keys,std_eff_keys,energy_std,std_energy_std,peak_x_unif,std_peak_x_unif,key0_x_unif,std_key0_x_unif,key_row_spread,std_key_row_spread,key_row_range,std_key_row_range,ctrl_eff_frac,std_ctrl_eff_frac,eff_frac,std_eff_frac,keys_identical,collapsed,n_skulls,skull_ids,row_mass,std_row_mass,frac_starved,std_frac_starved
cd_rep05_full,paper,encoder,E-SA1,2048,2048,256,2048.0001627604165,0.0001150889943337,0.0002265494743672,3.272876933228227e-05,1.0005181233088176,7.785247899217157e-05,0.999999980131785,2.8097899007262688e-08,0.002125670046856,0.000156778696754,0.0336358658969402,0.0015809873777532,1.0000001192092896,0.0,1.0000000794728596,5.6195798014525375e-08,False,True,3,083 053 070,1.0,0.0,0.0,0.0
cd_rep05_full,paper,encoder,E-SA2,2048,2048,256,2048.0,0.0,0.0002664351583613,3.8916379942427e-05,1.0005215803782146,6.931657721071451e-05,1.00000003973643,5.6195798014525375e-08,0.0022226496754835,0.0001724655370475,0.0349759372572104,0.0015668655378931,1.0000001192092896,0.0,1.0,0.0,False,True,3,083 053 070,1.0,0.0,0.0,0.0
cd_rep05_full,paper,encoder,E-SA3,2048,2048,256,2048.0001627604165,0.0001150889943337,0.0002582599991001,4.341735143404064e-05,1.000556468963623,8.376401711752473e-05,1.0,0.0,0.0023250195663422,0.0001870006433167,0.0367519321540991,0.0009725946737192,1.0000001192092896,0.0,1.0000000794728596,5.6195798014525375e-08,False,True,3,083 053 070,1.0,0.0,0.0,0.0
cd_rep05_full,paper,encoder,E-SA4,2048,2048,256,2048.0000813802085,0.0001150889943337,0.0002782856075403,4.076733488205133e-05,1.000619928042094,9.570466128133843e-05,1.0,0.0,0.0024694502353668,0.0002056951362773,0.037664466847976,0.0003219729259985,1.0000001192092896,0.0,1.00000003973643,5.6195798014525375e-08,False,True,3,083 053 070,1.0,0.0,0.0,0.0
cd_rep05_full,paper,encoder,E-SA5,2048,2048,512,2048.0001627604165,0.0001150889943337,7.774252056454618e-05,1.3023321738312274e-05,1.0001954634984334,3.4800175240898275e-05,0.999999980131785,2.8097899007262688e-08,0.0011752178349221,9.227838297600184e-05,0.0254858148594697,0.0024655907063502,1.00000003973643,5.6195798014525375e-08,1.0000000794728596,5.6195798014525375e-08,False,True,3,083 053 070,1.0,0.0,0.0,0.0
cd_rep05_full,paper,encoder,E-SA6,2048,2048,512,2048.000244140625,0.0,8.356402880356957e-05,1.5448868815270045e-05,1.0002442995707197,4.6136852841792846e-05,1.0,0.0,0.0012847472292681,0.0001031628860035,0.0263718130687872,0.0031434935382818,1.00000003973643,5.6195798014525375e-08,1.0000001192092896,0.0,False,True,3,083 053 070,1.0,0.0,0.0,0.0
cd_rep05_full,paper,encoder,E-SA7,2048,2048,512,2048.000244140625,0.0,0.0001080486326827,1.564866074045995e-05,1.0002735058466594,4.623234142861269e-05,1.0,0.0,0.0014423793957879,0.000120927152532,0.0276487891872723,0.0036274332801403,1.0000000794728596,5.6195798014525375e-08,1.0000001192092896,0.0,False,True,3,083 053 070,1.0,0.0,0.0,0.0
cd_rep05_full,paper,encoder,E-SA8,2048,2048,512,2048.000244140625,0.0,0.0001496150362072,2.2701585740623453e-05,1.0003597338994343,5.762272846783469e-05,0.999999980131785,2.8097899007262688e-08,0.0016155860309178,0.0001409915555411,0.0283228146533171,0.0034192068302792,1.0000001192092896,0.0,1.0000001192092896,0.0,False,True,3,083 053 070,1.0,0.0,0.0,0.0
cd_rep05_full,paper,D1,D1-STA1,1024,1024,1024,1024.00048828125,0.0,3.8967347866976816e-10,5.302209497684051e-11,1.0,0.0,1.0,0.0,2.0928349423835852e-09,3.248066489151283e-10,0.0,0.0,1.0000005960464478,0.0,1.0000004768371582,0.0,True,True,3,083 053 070,1.0,0.0,0.0,0.0
cd_rep05_full,paper,D1,D1-STA2,1024,1024,1024,1024.00048828125,0.0,3.8810791617531016e-10,5.0390557109411714e-11,1.0,0.0,1.0,0.0,2.0928349423835852e-09,3.248066489151283e-10,0.0,0.0,1.0000005960464478,0.0,1.0000004768371582,0.0,True,True,3,083 053 070,1.0,0.0,0.0,0.0
