id,k,n_points,ang_unoriented_median,ang_unoriented_p90,frac_plane_bad,frac_flipped,frac_nb_opposite,nb_radius_mm,mst_visited,watertight,winding_consistent
083,6,6144,31.9430670155736,70.41688214004066,0.734375,0.53759765625,0.1860622829861111,6.832947346576653,6144,False,True
083,8,6144,32.30386101553327,69.40637763878748,0.7444661458333334,0.4697265625,0.22578938802083334,7.815253339608965,6144,False,True
083,12,6144,32.09405141433568,68.06462306246436,0.74755859375,0.4602864583333333,0.2861735026041667,9.231797256566262,6144,False,True
083,16,6144,31.00561159526107,67.65508194289275,0.7332356770833334,0.5462239583333334,0.3281046549479167,10.369673431191679,6144,False,True
053,6,6144,38.67264517460856,77.0029364085307,0.7962239583333334,0.5354817708333334,0.2392306857638889,6.6710881624577665,6144,False,True
053,8,6144,36.039935527423665,73.90331571271136,0.7848307291666666,0.4597981770833333,0.2886149088541667,7.508872922640023,6144,False,True
053,12,6144,32.2958782270898,68.64816574527885,0.7482096354166666,0.45361328125,0.347900390625,8.849308060986365,6144,False,True
053,16,6144,28.88131851987294,64.42280188835538,0.6962890625,0.5481770833333334,0.3804117838541667,9.996741665252069,6144,False,True
070,6,6144,34.54057434976792,73.4157232407124,0.75830078125,0.52001953125,0.2138671875,6.569436505300408,6144,False,True
070,8,6144,34.042248942871126,71.70698413382449,0.75830078125,0.5205078125,0.2617390950520833,7.47453312469348,6144,False,True
070,12,6144,32.44110002748211,68.21847764640887,0.7439778645833334,0.53369140625,0.3269992404513889,8.778757012511264,6144,False,True
070,16,6144,29.510676770605095,65.19633514995634,0.7150065104166666,0.5369466145833334,0.3618570963541667,9.86482222846648,6144,False,True
045,6,6144,39.82476531422747,76.25016262492507,0.8185221354166666,0.5226236979166666,0.2919921875,5.4139017239108504,6144,False,True
045,8,6144,34.132243602866,68.98736701196195,0.76708984375,0.5262044270833334,0.3356119791666667,6.109932101759721,6144,False,True
045,12,6144,28.48209472258308,60.56512705083916,0.6907552083333334,0.5222981770833334,0.3839246961805556,7.292860045857659,6144,False,True
045,16,6144,26.93088263320675,56.55036875249182,0.6744791666666666,0.5211588541666666,0.4064534505208333,8.284315734253214,6144,False,True
044,6,6144,32.70342926074177,72.25105492238029,0.7586263020833334,0.5432942708333334,0.18644205729166666,6.791427557055494,6144,False,True
044,8,6144,32.9688938476782,71.85143775155058,0.763671875,0.4539388020833333,0.23173014322916666,7.780026029836348,6144,False,True
044,12,6144,33.79930354776873,70.24593706641959,0.7716471354166666,0.5538736979166666,0.3023952907986111,9.187773870683078,6144,False,True
044,16,6144,31.637392507405238,66.16702909743906,0.7444661458333334,0.4576822916666667,0.3440348307291667,10.28111852968028,6144,False,True
039,6,6144,39.67289901144647,76.48862883582778,0.8292643229166666,0.5289713541666666,0.2783745659722222,5.57263833125159,6144,False,True
039,8,6144,34.699423147341605,69.5822114109897,0.7762044270833334,0.51513671875,0.3256022135416667,6.287970092049436,6144,False,True
039,12,6144,29.3123821850767,61.244110036879654,0.7146809895833334,0.5185546875,0.3778618706597222,7.479701814479449,6144,False,True
039,16,6144,27.045646317619475,56.90903089696698,0.6778971354166666,0.52783203125,0.4026590983072917,8.483918706414908,6144,False,True
022,6,6144,37.38983208862585,75.44968039005515,0.7980143229166666,0.5340169270833334,0.22694227430555555,6.14391910716751,6144,False,True
022,8,6144,36.728696277468615,74.3357392613565,0.79248046875,0.546875,0.2728271484375,6.993805988517704,6144,False,True
022,12,6144,33.33514057436152,71.42086910826254,0.7685546875,0.5188802083333334,0.3329671223958333,8.23797585755245,6144,False,True
022,16,6144,31.493340645351424,66.732570359446,0.7469075520833334,0.45654296875,0.364471435546875,9.271334509469517,6144,False,True
080,6,6144,31.468087147492998,70.80840776832086,0.7386067708333334,0.5450846354166666,0.16246202256944445,7.010913876819628,6144,False,True
080,8,6144,33.269871409152245,72.32834049492364,0.7596028645833334,0.4694010416666667,0.20416259765625,8.058588990158961,6144,False,True
080,12,6144,34.24525026122371,70.57816146379416,0.7693684895833334,0.5602213541666666,0.2720675998263889,9.540552521670897,6144,False,True
080,16,6144,32.391689390707405,68.41442947001927,0.748046875,0.5611979166666666,0.3153076171875,10.622991878902484,6144,False,True
