id,n_out,rep,CD_t_mm,one_way_mm,HD95_mm
000,6144,0,4.431403379659653,2.2092901553336284,3.7933884540461964
001,6144,0,4.143328840954328,2.0739703673796854,3.575671169101359
002,6144,0,4.860826622873464,2.4303181303366608,4.191326417781943
003,6144,0,4.061022678445801,2.0306549446414626,3.5015421369572497
004,6144,0,4.447584408088297,2.2279322965151303,3.8328918152991416
005,6144,0,4.20502658534263,2.1032641770496134,3.6302013215768314
006,6144,0,4.253875791501784,2.12988839562211,3.643972655287885
007,6144,0,4.556946454348212,2.2776993838020942,3.951101136958277
008,6144,0,4.810601494145631,2.4091698269610244,4.145663819289568
009,6144,0,4.736493844945602,2.3624383677267997,4.12285729560767
010,6144,0,4.87811187931074,2.4353113193677456,4.219371924834554
011,6144,0,4.592187326139995,2.294164306994704,3.991347341510544
012,6144,0,4.797927586877802,2.402926848373611,4.089323652811964
013,6144,0,4.834466640117462,2.4187237635078165,4.220634477642355
014,6144,0,4.8030628128426684,2.402957019526905,4.150066592749923
015,6144,0,4.604013677667302,2.2989613059466305,3.9711520205431183
016,6144,0,4.517995644286108,2.2640819753311034,3.8395183941827886
017,6144,0,4.968268436561468,2.4808076190657107,4.274566694635324
018,6144,0,4.843319754704191,2.4231871594037577,4.098971123410477
019,6144,0,5.167661941264561,2.58979308236767,4.4513444321168905
020,6144,0,4.840649657995328,2.4221319448128087,4.139955883500933
021,6144,0,4.463711881005734,2.2339378870942697,3.8157065654720457
022,6144,0,4.465521116444098,2.233097569369472,3.836245807697159
023,6144,0,4.938594703980145,2.4658398341717476,4.227646402117046
024,6144,0,4.583187759237935,2.2905672830950885,3.9343885003267314
025,6144,0,4.3837508810241115,2.1982652136410015,3.779835487746777
026,6144,0,4.394549250597761,2.1984588366497992,3.8363778649125466
027,6144,0,4.850923171721814,2.4201361901857243,4.14514015765767
028,6144,0,4.545813777060522,2.273457374615793,3.940137506609923
029,6144,0,4.731669309806273,2.3682556563830026,4.097094476868105
030,6144,0,4.666864419189556,2.3385759857548494,4.020894873887156
031,6144,0,4.490109739205308,2.243489623013073,3.8945467494626094
032,6144,0,4.309054049065747,2.1541626488514756,3.676465496349476
033,6144,0,4.672513418723507,2.3301021159917594,4.058976723928255
034,6144,0,4.917135225677059,2.459630383538853,4.1778019110378315
035,6144,0,4.137263019587007,2.0705865484541426,3.5668821787001836
036,6144,0,4.401289380875243,2.198644662327688,3.8022581180532073
037,6144,0,4.168747531417081,2.086152699410672,3.5788883603594375
038,6144,0,5.044383783771018,2.5212667408975555,4.303699559479559
039,6144,0,4.180876878044145,2.089174125254693,3.5889523432550243
040,6144,0,4.2357799052921,2.119094248146397,3.6640649770201428
041,6144,0,4.6074758316927085,2.2989798020720724,3.9593260248890303
042,6144,0,4.608854073852417,2.299785804810453,4.00087356550776
043,6144,0,4.316818899837987,2.1630822216724686,3.737145998070971
044,6144,0,4.790888488680232,2.3979148639327135,4.15019791828758
045,6144,0,4.094452045922557,2.0473456198750655,3.502928214729613
046,6144,0,4.844015380243168,2.4227591809613354,4.2000098773064085
047,6144,0,4.714347210357547,2.3530486112122277,4.043611664241802
048,6144,0,5.01001520909002,2.504960887099539,4.309745923503431
049,6144,0,4.634928821027203,2.31903435805448,3.9624748799212863
050,6144,0,4.788322201703987,2.395418410227371,4.122401478587275
051,6144,0,4.821147316564467,2.4162165071906325,4.164120698158443
052,6144,0,4.431403379659653,2.2092901553336284,3.7933884540461964
053,6144,0,4.845225442400261,2.4287604924384563,4.163615360117835
054,6144,0,4.952197735150745,2.4741211184793435,4.253138474191247
055,6144,0,4.43739821385176,2.220260887571935,3.815338104831056
056,6144,0,4.2282295304295054,2.1160129357401396,3.686406948817043
057,6144,0,4.479635791999108,2.2368222902095027,3.856752064745976
058,6144,0,4.272447292209336,2.1364685613564247,3.665032865302633
059,6144,0,4.710326201317572,2.354370822954365,4.026564587799337
060,6144,0,4.686449012991599,2.342290032618963,4.0280666620300005
061,6144,0,4.377718531871744,2.186137816402964,3.7449905304775637
062,6144,0,4.782783632006647,2.386330830556402,4.108347377964766
063,6144,0,5.00499387629838,2.5045617635491766,4.289781532995818
064,6144,0,4.787115620441682,2.3915298551902056,4.095458475040176
065,6144,0,4.700780878263723,2.3527021565422053,4.024203920015594
066,6144,0,4.854571589488718,2.4282258006923523,4.166737745369318
067,6144,0,4.595366369317166,2.2949272193013623,3.971660784601308
068,6144,0,4.72617083979931,2.3619598142843676,4.061018638640046
069,6144,0,4.477759381259569,2.2387844122403204,3.8592298373157123
070,6144,0,4.7558206572686235,2.385181685025154,4.095044667727398
071,6144,0,4.215830179187657,2.1082070327619413,3.6946845157147408
072,6144,0,4.383964653604023,2.19616683641059,3.78176331036819
073,6144,0,4.483935370320894,2.2446147730772013,3.8723894838466326
074,6144,0,4.345703450521643,2.170331026133299,3.735216044979962
075,6144,0,4.554827913946733,2.2834328982003895,3.9254776655319277
076,6144,0,4.797268940395803,2.392977728441101,4.125924858916615
077,6144,0,4.268664550107837,2.1339148491675095,3.6350636907401053
078,6144,0,4.730776521844061,2.3662401812044345,4.088807613322668
079,6144,0,4.691213849609986,2.3414191868025123,4.020943565789934
080,6144,0,4.919731036902345,2.4612540803723024,4.242702372831022
081,6144,0,4.389503355124806,2.1963984932239957,3.780073723100458
082,6144,0,4.8004908263245945,2.3992464310453014,4.151486034810116
083,6144,0,4.842208698463363,2.4158994933666844,4.150771957878393
084,6144,0,4.71956335435648,2.3547128969540503,4.120463988451011
085,6144,0,4.639202947682726,2.3264361223685324,3.969983702014609
086,6144,0,5.237631618291113,2.6158493600136055,4.444090843240894
087,6144,0,4.475623311354429,2.23798346390112,3.827690660082704
088,6144,0,4.4022232124360805,2.197677618020552,3.801811903497125
089,6144,0,4.729962358484704,2.367981757555777,4.047247008973133
090,6144,0,4.794609051278706,2.394449721861275,4.088662065646552
091,6144,0,4.713377837997621,2.3554575217052225,4.027052836295028
092,6144,0,4.564302785975873,2.2845785755625854,3.9380253346830254
093,6144,0,4.456661802649314,2.2269603230958084,3.8665060187182982
094,6144,0,4.762077572179189,2.383145620031282,4.110567359092651
095,6144,0,4.853299248432782,2.430158274201759,4.1791010778755995
096,6144,0,4.693348237632366,2.3487894801305025,4.025849781947801
097,6144,0,4.827518264221864,2.412238817286268,4.156800385519762
098,6144,0,4.489760707282397,2.2428569896879575,3.8269063085202197
099,6144,0,4.845675702801857,2.4223301329886637,4.154844147373613
