id,thresh_mm,n_gt,n_true_defect,n_geom_defect,true_pct,geom_pct,tp,fp,fn,precision,recall,f1,jaccard,seam_pct,off_surface_pct
083,3.0,6144,289,2807,4.703776041666666,45.68684895833333,271,2536,18,0.09654435340220877,0.9377162629757786,0.17506459948320413,0.09592920353982301,0.244140625,0.0
083,3.5,6144,289,1907,4.703776041666666,31.038411458333332,267,1640,22,0.14001048767697954,0.9238754325259516,0.24316939890710382,0.13841368584758942,0.244140625,0.0
083,4.0,6144,289,1130,4.703776041666666,18.391927083333336,255,875,34,0.22566371681415928,0.8823529411764706,0.35940803382663844,0.2190721649484536,0.244140625,0.0
083,4.5,6144,289,653,4.703776041666666,10.628255208333332,243,410,46,0.3721286370597244,0.8408304498269896,0.5159235668789809,0.34763948497854075,0.244140625,0.0
083,5.0,6144,289,411,4.703776041666666,6.689453125,234,177,55,0.5693430656934306,0.8096885813148789,0.6685714285714286,0.5021459227467812,0.244140625,0.0
083,5.5,6144,289,289,4.703776041666666,4.703776041666666,224,65,65,0.7750865051903114,0.7750865051903114,0.7750865051903113,0.632768361581921,0.244140625,0.0
083,6.0,6144,289,227,4.703776041666666,3.6946614583333335,212,15,77,0.933920704845815,0.7335640138408305,0.8217054263565892,0.6973684210526315,0.244140625,0.0
083,7.0,6144,289,195,4.703776041666666,3.173828125,194,1,95,0.9948717948717949,0.671280276816609,0.8016528925619835,0.6689655172413793,0.244140625,0.0
083,8.0,6144,289,177,4.703776041666666,2.880859375,177,0,112,1.0,0.6124567474048442,0.759656652360515,0.6124567474048442,0.244140625,0.0
053,3.0,6144,338,2886,5.501302083333334,46.97265625,319,2567,19,0.11053361053361054,0.9437869822485208,0.19789081885856077,0.10981067125645438,0.35807291666666663,0.0
053,3.5,6144,338,1941,5.501302083333334,31.591796875,312,1629,26,0.160741885625966,0.9230769230769231,0.2738043001316367,0.15861718352821555,0.35807291666666663,0.0
053,4.0,6144,338,1167,5.501302083333334,18.994140625,294,873,44,0.2519280205655527,0.8698224852071006,0.3906976744186046,0.24277456647398843,0.35807291666666663,0.0
053,4.5,6144,338,655,5.501302083333334,10.660807291666668,284,371,54,0.433587786259542,0.8402366863905325,0.5720040281973816,0.4005641748942172,0.35807291666666663,0.0
053,5.0,6144,338,420,5.501302083333334,6.8359375,272,148,66,0.6476190476190476,0.8047337278106509,0.7176781002638524,0.5596707818930041,0.35807291666666663,0.0
053,5.5,6144,338,296,5.501302083333334,4.817708333333334,257,39,81,0.8682432432432432,0.7603550295857988,0.8107255520504733,0.6816976127320955,0.35807291666666663,0.0
053,6.0,6144,338,261,5.501302083333334,4.248046875,249,12,89,0.9540229885057471,0.7366863905325444,0.8313856427378965,0.7114285714285714,0.35807291666666663,0.0
053,7.0,6144,338,230,5.501302083333334,3.7434895833333335,229,1,109,0.9956521739130435,0.6775147928994083,0.8063380281690141,0.6755162241887905,0.35807291666666663,0.0
053,8.0,6144,338,213,5.501302083333334,3.466796875,213,0,125,1.0,0.6301775147928994,0.7731397459165155,0.6301775147928994,0.35807291666666663,0.0
070,3.0,6144,376,2719,6.119791666666666,44.25455729166667,354,2365,22,0.13019492460463405,0.9414893617021277,0.2287560581583199,0.1291499452754469,0.4069010416666667,0.0
070,3.5,6144,376,1712,6.119791666666666,27.864583333333332,340,1372,36,0.1985981308411215,0.9042553191489362,0.32567049808429116,0.1945080091533181,0.4069010416666667,0.0
070,4.0,6144,376,1034,6.119791666666666,16.829427083333336,328,706,48,0.31721470019342357,0.8723404255319149,0.4652482269503546,0.3031423290203327,0.4069010416666667,0.0
070,4.5,6144,376,595,6.119791666666666,9.684244791666668,314,281,62,0.5277310924369748,0.8351063829787234,0.6467559217301752,0.4779299847792998,0.4069010416666667,0.0
070,5.0,6144,376,397,6.119791666666666,6.461588541666667,301,96,75,0.7581863979848866,0.800531914893617,0.778783958602846,0.6377118644067796,0.4069010416666667,0.0
070,5.5,6144,376,322,6.119791666666666,5.240885416666666,295,27,81,0.9161490683229814,0.7845744680851063,0.8452722063037249,0.7320099255583127,0.4069010416666667,0.0
070,6.0,6144,376,294,6.119791666666666,4.78515625,283,11,93,0.9625850340136054,0.7526595744680851,0.844776119402985,0.7312661498708011,0.4069010416666667,0.0
070,7.0,6144,376,258,6.119791666666666,4.19921875,258,0,118,1.0,0.6861702127659575,0.8138801261829653,0.6861702127659575,0.4069010416666667,0.0
070,8.0,6144,376,241,6.119791666666666,3.9225260416666665,241,0,135,1.0,0.6409574468085106,0.7811993517017828,0.6409574468085106,0.4069010416666667,0.0
045,3.0,6144,378,1856,6.15234375,30.208333333333332,345,1511,33,0.18588362068965517,0.9126984126984127,0.3088630259623993,0.1826363155108523,0.37434895833333337,0.0
045,3.5,6144,378,995,6.15234375,16.194661458333336,333,662,45,0.33467336683417087,0.8809523809523809,0.4850691915513475,0.32019230769230766,0.37434895833333337,0.0
045,4.0,6144,378,529,6.15234375,8.610026041666668,316,213,62,0.5973534971644613,0.8359788359788359,0.6968026460859978,0.5346869712351946,0.37434895833333337,0.0
045,4.5,6144,378,355,6.15234375,5.777994791666666,302,53,76,0.8507042253521127,0.798941798941799,0.8240109140518418,0.7006960556844548,0.37434895833333337,0.0
045,5.0,6144,378,301,6.15234375,4.899088541666666,292,9,86,0.9700996677740864,0.7724867724867724,0.8600883652430045,0.7545219638242894,0.37434895833333337,0.0
045,5.5,6144,378,278,6.15234375,4.524739583333334,278,0,100,1.0,0.7354497354497355,0.8475609756097562,0.7354497354497355,0.37434895833333337,0.0
045,6.0,6144,378,262,6.15234375,4.264322916666666,262,0,116,1.0,0.6931216931216931,0.8187500000000001,0.6931216931216931,0.37434895833333337,0.0
045,7.0,6144,378,248,6.15234375,4.036458333333334,248,0,130,1.0,0.656084656084656,0.792332268370607,0.656084656084656,0.37434895833333337,0.0
045,8.0,6144,378,232,6.15234375,3.7760416666666665,232,0,146,1.0,0.6137566137566137,0.760655737704918,0.6137566137566137,0.37434895833333337,0.0
044,3.0,6144,402,2852,6.54296875,46.41927083333333,387,2465,15,0.13569424964936885,0.9626865671641791,0.23786109403810693,0.13498430415068016,0.4069010416666667,0.0
044,3.5,6144,402,1935,6.54296875,31.494140625,380,1555,22,0.19638242894056848,0.945273631840796,0.3252032520325203,0.1941747572815534,0.4069010416666667,0.0
044,4.0,6144,402,1170,6.54296875,19.04296875,364,806,38,0.3111111111111111,0.9054726368159204,0.4631043256997456,0.30132450331125826,0.4069010416666667,0.0
044,4.5,6144,402,699,6.54296875,11.376953125,346,353,56,0.4949928469241774,0.8606965174129353,0.628519527702089,0.45827814569536424,0.4069010416666667,0.0
044,5.0,6144,402,470,6.54296875,7.649739583333333,338,132,64,0.7191489361702128,0.8407960199004975,0.775229357798165,0.6329588014981273,0.4069010416666667,0.0
044,5.5,6144,402,364,6.54296875,5.924479166666666,326,38,76,0.8956043956043956,0.8109452736318408,0.8511749347258485,0.740909090909091,0.4069010416666667,0.0
044,6.0,6144,402,325,6.54296875,5.289713541666666,316,9,86,0.9723076923076923,0.7860696517412935,0.8693259972489683,0.7688564476885644,0.4069010416666667,0.0
044,7.0,6144,402,298,6.54296875,4.850260416666666,298,0,104,1.0,0.7412935323383084,0.8514285714285714,0.7412935323383084,0.4069010416666667,0.0
044,8.0,6144,402,279,6.54296875,4.541015625,279,0,123,1.0,0.6940298507462687,0.8193832599118943,0.6940298507462687,0.4069010416666667,0.0
039,3.0,6144,374,1963,6.087239583333334,31.949869791666668,347,1616,27,0.17677024961793172,0.9278074866310161,0.29696191698759095,0.1743718592964824,0.35807291666666663,0.0
039,3.5,6144,374,1111,6.087239583333334,18.082682291666664,330,781,44,0.297029702970297,0.8823529411764706,0.4444444444444444,0.2857142857142857,0.35807291666666663,0.0
039,4.0,6144,374,582,6.087239583333334,9.47265625,314,268,60,0.5395189003436426,0.839572192513369,0.6569037656903766,0.48909657320872274,0.35807291666666663,0.0
