model,clump_pct,clump_pct_gt,spacing_cv,spacing_cv_gt,spacing_median_mm,dev_abs_median_mm,dev_abs_p95_mm,dev_bias_mm,dev_std_mm,outside_pct
baseline,12.648518880208332,0.0,0.3880108895756212,0.1453832916744781,3.3961394637509192,2.000310248345297,6.563808263183312,-0.1842817611000307,3.254646820089006,48.329671223958336
lr_fix,5.185953776041666,0.0,0.2939159957649928,0.1453832916744781,4.09543852659868,2.114157911331656,5.622970188097156,-0.0312881868484633,2.9620197188875563,50.56355794270833
rep_w05,0.8768717447916666,0.0,0.2291306237127326,0.1453832916744781,4.187989299961553,2.098804596962493,5.588702160387433,-0.0336520576193132,2.933521420870047,50.461832682291664
cd_only,13.155110677083334,0.0,0.3957967412582842,0.1453832916744781,3.810883368993539,1.93525442596504,5.435004565633532,0.0025777415971639,2.8217585338485525,50.750732421875
cd_rep05_full,0.93994140625,0.0,0.2469391463231163,0.1453832916744781,4.091012514344024,2.116708157383413,5.4320477462613095,0.0292837586167765,2.901089694015078,51.0498046875
cd_rep05_r2,1.15966796875,0.0,0.2472687396717465,0.1453832916744781,4.100959045600587,2.119314946184998,5.462856300545333,-0.0024283068561519,2.899231311452081,50.50455729166666
tie_qk,1.7089843749999998,0.0,0.2637005876675375,0.1453832916744781,4.020526445152919,2.143030068286269,5.385288738282783,0.0249649953020459,2.900689311654658,50.567626953125
notext,0.9134928385416669,0.0,0.2501233940809802,0.1453832916744781,4.048208495957255,2.0632091028194246,5.317864348005575,-0.0077884817718942,2.826868294673633,50.38248697916666
pp_attn,0.592041015625,0.0,0.2662283992686164,0.1453832916744781,4.245430200502055,2.0474137284416623,6.055305806405647,-0.03524094062388,3.0962987388683514,50.19734700520833
tie_qk_r2,2.067057291666667,0.0,0.2593763087662008,0.1453832916744781,4.044125662338029,2.063395856992167,5.4810961469879285,-0.0449865860037695,2.9063937780105213,50.191243489583336
notext_r2,0.98876953125,0.0,0.2528334451089339,0.1453832916744781,4.098718922108333,2.0650609684676224,5.382730956368816,0.0245605514751215,2.851119301673221,50.93180338541666
cd_only_f0,16.664632161458332,0.0,0.43158158523639595,0.14538329167447817,3.761361647787613,1.837163085718319,5.574015303472742,0.024994095591486295,2.8093932099281274,50.98876953125
lr_fix_only_f0,7.661946614583333,0.0,0.3285726411627209,0.14538329167447817,3.9742705781882264,2.0425472808861924,5.605540173344291,0.020957549662453355,2.92999378326639,50.705973307291664
rep_w05_f0,0.5208333333333334,0.0,0.21536670185947848,0.14538329167447817,4.2833113070695505,2.1633949710545,5.6167117179335815,-0.06937895737246286,2.98429250294445,49.820963541666664
cd_rep05_full_f0,1.8961588541666665,0.0,0.2756036999285466,0.14538329167447817,4.046860189680629,2.059740819343264,5.473405894070544,0.007913471526960219,2.887664295287829,51.07828776041667
