id,defect_pct,n_defect,seam_pct,off_surface_pct,watertight,winding_consistent
001,7.763671875,477,0.5045572916666667,0.0,True,True
002,6.038411458333334,371,0.4069010416666667,0.0,True,True
003,6.640625,408,0.37434895833333337,0.0,True,True
005,6.640625,408,0.48828125,0.0,True,True
006,5.2734375,324,0.35807291666666663,0.0,True,True
007,6.0546875,372,0.30924479166666663,0.0,True,True
008,6.103515625,375,0.26041666666666663,0.0,True,True
009,8.951822916666668,550,0.4720052083333333,0.0,True,True
011,6.4453125,396,0.30924479166666663,0.0,True,True
013,5.436197916666666,334,0.26041666666666663,0.0,True,True
014,6.396484375,393,0.32552083333333337,0.0,True,True
015,6.087239583333334,374,0.4720052083333333,0.0,True,True
016,5.533854166666666,340,0.21158854166666666,0.0,True,True
017,7.210286458333333,443,0.32552083333333337,0.0,True,True
019,5.192057291666666,319,0.244140625,0.0,True,True
020,6.103515625,375,0.32552083333333337,0.0,True,True
021,5.289713541666666,325,0.32552083333333337,0.0,True,True
023,6.396484375,393,0.32552083333333337,0.0,True,True
024,6.396484375,393,0.30924479166666663,0.0,True,True
025,6.705729166666667,412,0.4231770833333333,0.0,True,True
026,6.4453125,396,0.390625,0.0,True,True
027,6.022135416666666,370,0.22786458333333334,0.0,True,True
028,5.973307291666666,367,0.22786458333333334,0.0,True,True
029,5.891927083333334,362,0.341796875,0.0,True,True
032,6.25,384,0.341796875,0.0,True,True
034,5.826822916666666,358,0.32552083333333337,0.0,True,True
035,6.461588541666667,397,0.35807291666666663,0.0,True,True
036,6.689453125,411,0.4231770833333333,0.0,True,True
037,6.494140625,399,0.4069010416666667,0.0,True,True
038,5.729166666666666,352,0.27669270833333337,0.0,True,True
040,6.34765625,390,0.390625,0.0,True,True
041,4.996744791666666,307,0.37434895833333337,0.0,True,True
042,6.266276041666667,385,0.4231770833333333,0.0,True,True
043,6.819661458333333,419,0.37434895833333337,0.0,True,True
046,6.070963541666666,373,0.29296875,0.0,True,True
047,6.998697916666667,430,0.4231770833333333,0.0,True,True
048,5.224609375,321,0.341796875,0.0,True,True
049,5.908203125,363,0.4069010416666667,0.0,True,True
050,7.096354166666667,436,0.4069010416666667,0.0,True,True
051,5.224609375,321,0.37434895833333337,0.0,True,True
052,5.56640625,342,0.22786458333333334,0.0,True,True
054,6.624348958333333,407,0.4069010416666667,0.0,True,True
055,5.794270833333334,356,0.29296875,0.0,True,True
056,5.745442708333334,353,0.48828125,0.0,True,True
057,7.340494791666667,451,0.37434895833333337,0.0,True,True
058,4.996744791666666,307,0.341796875,0.0,True,True
059,5.598958333333334,344,0.32552083333333337,0.0,True,True
060,5.598958333333334,344,0.4557291666666667,0.0,True,True
061,4.8828125,300,0.37434895833333337,0.0,True,True
062,5.891927083333334,362,0.341796875,0.0,True,True
063,5.843098958333334,359,0.17903645833333331,0.0,True,True
064,6.380208333333333,392,0.439453125,0.0,True,True
065,6.510416666666667,400,0.30924479166666663,0.0,True,True
066,5.891927083333334,362,0.29296875,0.0,True,True
067,5.696614583333334,350,0.29296875,0.0,True,True
068,5.76171875,354,0.341796875,0.0,True,True
069,6.966145833333333,428,0.390625,0.0,True,True
071,5.56640625,342,0.37434895833333337,0.0,True,True
072,5.647786458333334,347,0.439453125,0.0,True,True
074,7.03125,432,0.29296875,0.0,True,True
075,7.405598958333333,455,0.390625,0.0,True,True
078,6.380208333333333,392,0.32552083333333337,0.0,True,True
079,5.257161458333334,323,0.30924479166666663,0.0,True,True
081,7.51953125,462,0.390625,0.0,True,True
082,6.494140625,399,0.32552083333333337,0.0,True,True
084,7.12890625,438,0.22786458333333334,0.0,True,True
085,7.535807291666667,463,0.32552083333333337,0.0,True,True
086,5.56640625,342,0.26041666666666663,0.0,True,True
087,4.345703125,267,0.37434895833333337,0.0,True,True
088,5.598958333333334,344,0.4231770833333333,0.0,True,True
089,6.510416666666667,400,0.37434895833333337,0.0,True,True
091,5.95703125,366,0.30924479166666663,0.0,True,True
092,5.094401041666666,313,0.37434895833333337,0.0,True,True
093,4.78515625,294,0.30924479166666663,0.0,True,True
094,7.486979166666667,460,0.21158854166666666,0.0,True,True
095,5.192057291666666,319,0.244140625,0.0,True,True
096,4.817708333333334,296,0.35807291666666663,0.0,True,True
097,6.0546875,372,0.4231770833333333,0.0,True,True
098,5.403645833333334,332,0.27669270833333337,0.0,True,True
099,6.103515625,375,0.244140625,0.0,True,True
