epoch,cd_p_metric,cd_t_metric,dcd_metric,loss,lr,val_cd_p_metric,val_cd_t_metric,val_dcd_metric,val_loss
0,0.8987394571304321,1.876516580581665,1.934523582458496,3.811040163040161,6e-05,0.6383466720581055,0.8176320195198059,1.8738971948623657,2.6915290355682373
1,0.6365613341331482,0.8785213232040405,1.8865468502044678,2.7650678157806396,0.00012,0.7192699313163757,1.039301872253418,1.9408423900604248,2.9801442623138428
2,0.5970800518989563,0.7556914687156677,1.8864097595214844,2.642101287841797,0.00018,0.45554119348526,0.42136016488075256,1.8292592763900757,2.250619411468506
3,0.4979613423347473,0.513706386089325,1.8274948596954346,2.3412013053894043,0.00024,0.7296767830848694,1.0688743591308594,1.9662443399429321,3.035118579864502
4,0.5085546374320984,0.5714866518974304,1.854753851890564,2.4262406826019287,0.0003,0.47435665130615234,0.4517877995967865,1.8385536670684814,2.290341377258301
5,0.344137966632843,0.2483169138431549,1.7116615772247314,1.959978461265564,0.0003,0.3089592158794403,0.19789472222328186,1.642301321029663,1.8401962518692017
6,0.2800821363925934,0.16225071251392365,1.5735018253326416,1.7357527017593384,0.0003,0.2615581452846527,0.13847482204437256,1.4638029336929321,1.6022777557373047
7,0.2558380365371704,0.1338418424129486,1.445733666419983,1.579575538635254,0.0003,0.23548874258995056,0.11221382766962051,1.3580453395843506,1.4702593088150024
8,0.23655223846435547,0.11357481777667999,1.3275830745697021,1.441157579421997,0.0003,0.2292148619890213,0.1059170737862587,1.2797822952270508,1.3856992721557617
9,0.22100591659545898,0.09846962988376617,1.1996756792068481,1.2981452941894531,0.0003,0.21273747086524963,0.09096231311559677,1.144288420677185,1.23525071144104
10,0.21113333106040955,0.08986710011959076,1.1076128482818604,1.1974800825119019,0.0003,0.2126017063856125,0.09071703255176544,1.1177676916122437,1.2084846496582031
11,0.20853443443775177,0.08756628632545471,1.0659780502319336,1.153544306755066,0.0003,0.20543444156646729,0.0847947895526886,1.040264368057251,1.1250591278076172
12,0.20768137276172638,0.08671314269304276,1.0483471155166626,1.13506019115448,0.0003,0.20925477147102356,0.08777452260255814,1.0769400596618652,1.1647145748138428
13,0.2091629058122635,0.08795291185379028,1.0504013299942017,1.1383540630340576,0.0003,0.21075813472270966,0.08916592597961426,1.06979238986969,1.1589581966400146
14,0.2078157365322113,0.08685576915740967,1.0447523593902588,1.131608247756958,0.0003,0.2064417153596878,0.0855555534362793,1.0279887914657593,1.1135443449020386
15,0.21022269129753113,0.08893569558858871,1.0480786561965942,1.137014389038086,0.0003,0.20947125554084778,0.08818414062261581,1.0637654066085815,1.1519496440887451
16,0.20835518836975098,0.08742020279169083,1.0351871252059937,1.1226072311401367,0.0003,0.20299839973449707,0.08264932036399841,1.0181218385696411,1.100771188735962
17,0.20192423462867737,0.08190790563821793,1.003565788269043,1.0854737758636475,0.0003,0.200972318649292,0.08104169368743896,1.0165289640426636,1.0975706577301025
18,0.20101329684257507,0.08118996769189835,0.9912576675415039,1.072447657585144,0.0003,0.1971077024936676,0.07785369455814362,0.9687836766242981,1.0466372966766357
19,0.19911162555217743,0.07953038066625595,0.977592945098877,1.0571234226226807,0.0003,0.1975722759962082,0.07830889523029327,0.9565402865409851,1.0348491668701172
20,0.19849355518817902,0.07905309647321701,0.9700929522514343,1.0491459369659424,0.0003,0.20357036590576172,0.08302141726016998,1.014464020729065,1.0974854230880737
21,0.20166203379631042,0.08162300288677216,0.9894087910652161,1.0710318088531494,0.0003,0.2086520940065384,0.08730002492666245,1.059165120124817,1.1464650630950928
22,0.20461925864219666,0.08447231352329254,1.0067111253738403,1.0911834239959717,0.0003,0.2369081974029541,0.11294559389352798,1.203692078590393,1.3166377544403076
23,0.21361413598060608,0.09199300408363342,1.0575642585754395,1.1495574712753296,0.0003,0.20889253914356232,0.0876750499010086,1.0474004745483398,1.135075569152832
24,0.2032410204410553,0.08300493657588959,1.004305124282837,1.0873100757598877,0.0003,0.20340442657470703,0.08291402459144592,1.0309053659439087,1.1138193607330322
25,0.1987849771976471,0.07924391329288483,0.9815093874931335,1.060753345489502,0.0003,0.19651134312152863,0.0774482935667038,0.9711509943008423,1.0485992431640625
26,0.19911697506904602,0.07957503199577332,0.978725254535675,1.058300256729126,0.0003,0.19904625415802002,0.07933442294597626,0.9819623827934265,1.061296820640564
27,0.20666995644569397,0.0858432799577713,1.0188031196594238,1.1046463251113892,0.0003,0.21180839836597443,0.09013216197490692,1.0193195343017578,1.1094516515731812
28,0.20418354868888855,0.08376161754131317,1.001140832901001,1.0849025249481201,0.0003,0.201677605509758,0.08172794431447983,0.9741193056106567,1.0558472871780396
29,0.19711919128894806,0.07792793214321136,0.9608553051948547,1.038783311843872,0.0003,0.19944044947624207,0.07975874841213226,1.0047186613082886,1.0844775438308716
30,0.19816026091575623,0.0788300633430481,0.9725388288497925,1.0513689517974854,0.0003,0.19674596190452576,0.07757566124200821,0.9762310981750488,1.0538067817687988
31,0.19611810147762299,0.0772048607468605,0.9588861465454102,1.0360909700393677,0.0003,0.20397011935710907,0.08345337212085724,1.0455681085586548,1.1290215253829956
32,0.19499436020851135,0.07625290751457214,0.9478090405464172,1.024061918258667,0.0003,0.20088553428649902,0.08099577575922012,0.98570317029953,1.0666989088058472
33,0.200443297624588,0.08070624619722366,0.9877755045890808,1.0684815645217896,0.0003,0.20742352306842804,0.08655083924531937,1.0071710348129272,1.0937217473983765
34,0.19681093096733093,0.07766301929950714,0.9618393778800964,1.039502501487732,0.0003,0.2031843662261963,0.08295359462499619,0.9890066981315613,1.071960210800171
35,0.19730335474014282,0.07809299975633621,0.9602813720703125,1.0383743047714233,0.0003,0.20213520526885986,0.08191672712564468,1.0146137475967407,1.0965304374694824
36,0.20088443160057068,0.08104858547449112,0.993228554725647,1.0742771625518799,0.0003,0.1999417096376419,0.08026522397994995,0.9808887243270874,1.0611540079116821
37,0.195207878947258,0.07651027292013168,0.9493023753166199,1.0258126258850098,0.0003,0.1984536349773407,0.07899067550897598,0.9809759855270386,1.0599666833877563
38,0.192911759018898,0.07456690818071365,0.9367307424545288,1.0112978219985962,0.0003,0.19251100718975067,0.07427245378494263,0.934609591960907,1.0088820457458496
39,0.19163359701633453,0.07363271713256836,0.9229509234428406,0.9965835809707642,0.0003,0.19309094548225403,0.0746685266494751,0.9388686418533325,1.0135371685028076
40,0.1913348138332367,0.07337130606174469,0.9227089881896973,0.9960801005363464,0.0003,0.19441263377666473,0.07574917376041412,0.9479076266288757,1.0236566066741943
41,0.19869481027126312,0.07924261689186096,0.9734461903572083,1.052688717842102,0.0003,0.20024573802947998,0.08037398755550385,0.9991042017936707,1.079478144645691
42,0.19691719114780426,0.07779855281114578,0.9554764032363892,1.0332748889923096,0.0003,0.20755653083324432,0.08647280931472778,1.058196783065796,1.144669532775879
43,0.2027328908443451,0.08298135548830032,0.9960564374923706,1.0790379047393799,0.0003,0.198889821767807,0.07925762236118317,0.972546398639679,1.0518039464950562
44,0.19494406878948212,0.07615546137094498,0.9473614692687988,1.0235168933868408,0.0003,0.19442154467105865,0.07582280784845352,0.938250720500946,1.0140736103057861
45,0.19252173602581024,0.0743270143866539,0.9252268671989441,0.9995537996292114,0.0003,0.19354736804962158,0.07509281486272812,0.9502550959587097,1.0253479480743408
46,0.19233456254005432,0.0741661787033081,0.929063618183136,1.0032297372817993,0.0003,0.19641636312007904,0.07752390950918198,0.944890022277832,1.022413969039917
47,0.19390907883644104,0.07535764575004578,0.9422820210456848,1.0176396369934082,0.0003,0.20459982752799988,0.08394362032413483,1.0025107860565186,1.0864542722702026
48,0.1959044188261032,0.07701718062162399,0.954507052898407,1.031524419784546,0.0003,0.19460166990756989,0.07595702260732651,0.9466322660446167,1.0225893259048462
49,0.19198833405971527,0.07386963069438934,0.926605224609375,1.0004748106002808,0.0003,0.1941172182559967,0.07550109922885895,0.9368511438369751,1.0123522281646729
50,0.19105002284049988,0.07312435656785965,0.9152156710624695,0.9883401989936829,0.0003,0.19152022898197174,0.07348956167697906,0.9328005909919739,1.0062901973724365
51,0.1892087161540985,0.07172814011573792,0.9006997346878052,0.9724278450012207,0.0003,0.19041578471660614,0.07267972081899643,0.9143804311752319,0.9870601892471313
52,0.19413308799266815,0.07573294639587402,0.9350516200065613,1.01078462600708,0.0003,0.21077308058738708,0.08921723067760468,1.0254437923431396,1.1146610975265503
53,0.1948818862438202,0.07619373500347137,0.9392913579940796,1.015485167503357,0.0003,0.19302348792552948,0.07466930150985718,0.9281982183456421,1.0028674602508545
54,0.19116336107254028,0.07328441739082336,0.9159587025642395,0.9892429113388062,0.0003,0.18902206420898438,0.0716138631105423,0.8991489410400391,0.9707628488540649
55,0.1893378049135208,0.07183030992746353,0.8987191915512085,0.9705495834350586,0.0003,0.19239577651023865,0.07416709512472153,0.9173531532287598,0.9915202260017395
56,0.18890342116355896,0.07147267460823059,0.8991120457649231,0.9705846905708313,0.0003,0.1942821890115738,0.07573502510786057,0.9323222041130066,1.0080572366714478
57,0.19004729390144348,0.0724196806550026,0.9034063220024109,0.9758261442184448,0.0003,0.19123366475105286,0.07327914983034134,0.9170194864273071,0.9902985692024231
58,0.18809357285499573,0.07087325304746628,0.8922408819198608,0.9631142616271973,0.0003,0.19079741835594177,0.07299775630235672,0.91743403673172,0.9904317855834961
59,0.19055472314357758,0.0727560967206955,0.9122263789176941,0.9849824905395508,0.0003,0.20107360184192657,0.08112834393978119,0.9676801562309265,1.0488084554672241
60,0.19035345315933228,0.07268062978982925,0.9045068621635437,0.97718745470047,0.0003,0.1923871487379074,0.07416518032550812,0.9254838228225708,0.999648928642273
61,0.18770024180412292,0.07058943063020706,0.8847336769104004,0.9553232192993164,0.0003,0.18993109464645386,0.07229393720626831,0.9167162179946899,0.9890101552009583
62,0.191586434841156,0.07360047101974487,0.9187809228897095,0.9923813939094543,0.0003,0.19622454047203064,0.07715018838644028,0.9743691682815552,1.0515192747116089
63,0.19402779638767242,0.07543671876192093,0.9403058886528015,1.015742540359497,0.0003,0.19352290034294128,0.07505710422992706,0.9374078512191772,1.012465000152588
64,0.18707133829593658,0.07008000463247299,0.8819567561149597,0.9520368576049805,0.0003,0.19577303528785706,0.07688448578119278,0.9587432742118835,1.0356279611587524
65,0.19353120028972626,0.0752158910036087,0.9339863657951355,1.0092025995254517,0.0003,0.19213365018367767,0.07405804097652435,0.9212836027145386,0.9953415989875793
66,0.18916723132133484,0.07167110592126846,0.9035360217094421,0.9752072095870972,0.0003,0.19481122493743896,0.0760914757847786,0.9677007794380188,1.0437923669815063
67,0.1893560141324997,0.0718172937631607,0.9105145335197449,0.9823317527770996,0.0003,0.19446904957294464,0.07587210088968277,0.9472174644470215,1.0230895280838013
68,0.18689443171024323,0.06994984298944473,0.8867039680480957,0.9566537737846375,0.0003,0.18964873254299164,0.07205213606357574,0.9125373959541321,0.9845894575119019
