epoch,cd_p_metric,cd_t_metric,clump_metric,dcd_metric,loss,lr,val_cd_p_metric,val_cd_t_metric,val_clump_metric,val_dcd_metric,val_defect_cov_mm,val_loss
0,0.9076439142227173,1.8591630458831787,0.5511230230331421,1.9501253366470337,3.8349945545196533,6e-05,0.6202664375305176,0.7696914076805115,0.504589855670929,1.8620364665985107,76.83118681206922,2.6991145610809326
1,0.5629763007164001,0.6573228240013123,0.5873047113418579,1.8530817031860352,2.581230878829956,0.00012,0.4043103754520416,0.32761627435684204,0.6153320074081421,1.7651630640029907,nan,2.2025489807128906
2,0.584356963634491,0.7324612736701965,0.570605456829071,1.845322608947754,2.652912139892578,0.00018,0.5708616375923157,0.6543060541152954,0.6927734613418579,1.847102165222168,nan,2.580289840698242
3,0.48792582750320435,0.5015541911125183,0.7408202886581421,1.83553147315979,2.4173812866210938,0.00024,0.36350369453430176,0.269467294216156,0.657519519329071,1.6895427703857422,nan,2.0979421138763428
4,0.42208775877952576,0.37947577238082886,0.762988269329071,1.7877976894378662,2.2655575275421143,0.0003,0.5083621740341187,0.5181176662445068,0.7627929449081421,1.841073989868164,nan,2.434518337249756
5,0.3331279754638672,0.2347266972064972,0.640820324420929,1.6260980367660522,2.0150084495544434,0.0003,0.2886526584625244,0.1716919243335724,0.609375,1.5360010862350464,nan,1.8971812725067139
6,0.2632423937320709,0.1420583575963974,0.536328136920929,1.4699395895004272,1.8109700679779053,0.0003,0.23389244079589844,0.1109771877527237,0.44208985567092896,1.3492200374603271,nan,1.6868555545806885
7,0.24811048805713654,0.12504485249519348,0.4150634706020355,1.3692647218704224,1.7165895700454712,0.0003,0.2584868371486664,0.1347479522228241,0.41816407442092896,1.4125500917434692,nan,1.761649489402771
8,0.22728297114372253,0.10430152714252472,0.39436036348342896,1.2890819311141968,1.6310231685638428,0.0003,0.24434757232666016,0.12107767909765244,0.2779296934604645,1.2594934701919556,nan,1.6304585933685303
9,0.22178837656974792,0.09923241287469864,0.31425780057907104,1.2091810703277588,1.5645321607589722,0.0003,0.21210944652557373,0.09129233658313751,0.26416015625,1.1356581449508667,5.1961312170390395,1.4933457374572754
10,0.20981697738170624,0.08851876854896545,0.256103515625,1.1184308528900146,1.4769235849380493,0.0003,0.21397581696510315,0.09311942011117935,0.24257811903953552,1.1228307485580444,nan,1.4849923849105835
11,0.2082272320985794,0.08714320510625839,0.22795410454273224,1.0922667980194092,1.4533371925354004,0.0003,0.23359012603759766,0.11092843860387802,0.22666016221046448,1.200346827507019,nan,1.5743319988250732
12,0.2163461148738861,0.09418584406375885,0.23769530653953552,1.1324799060821533,1.4960657358169556,0.0003,0.21533909440040588,0.0937807559967041,0.20566406846046448,1.0977462530136108,nan,1.4658958911895752
13,0.20916612446308136,0.08787190169095993,0.20061035454273224,1.0811833143234253,1.4459741115570068,0.0003,0.210865780711174,0.09053415805101395,0.19404296576976776,1.0711917877197266,nan,1.4396867752075195
14,0.20673736929893494,0.08582572638988495,0.20620116591453552,1.0663238763809204,1.4301782846450806,0.0003,0.2052522897720337,0.0856086015701294,0.19931641221046448,1.031741738319397,nan,1.3982391357421875
15,0.2043064534664154,0.08376984298229218,0.18317870795726776,1.036236047744751,1.4012138843536377,0.0003,0.20384614169597626,0.08424486964941025,0.18798828125,1.0234349966049194,nan,1.3867199420928955
16,0.20429940521717072,0.08378060907125473,0.18984374403953552,1.0385525226593018,1.4040372371673584,0.0003,0.20172527432441711,0.08232785761356354,0.18398436903953552,1.0153722763061523,nan,1.3789784908294678
17,0.2003115713596344,0.08043824881315231,0.17812499403953552,1.0039951801300049,1.3692396879196167,0.0003,0.2087496966123581,0.0885024219751358,0.177734375,1.0525410175323486,nan,1.4238920211791992
18,0.2067457139492035,0.08584816008806229,0.17512206733226776,1.0394287109375,1.4099400043487549,0.0003,0.2221211940050125,0.1004960760474205,0.15830078721046448,1.1023160219192505,nan,1.4842607975006104
19,0.20981287956237793,0.08835924416780472,0.1800537109375,1.0573551654815674,1.4279935359954834,0.0003,0.20553894340991974,0.08559291064739227,0.17519530653953552,1.0219870805740356,4.8870350313272315,1.3896511793136597
20,0.20634965598583221,0.08547861129045486,0.17641600966453552,1.0387318134307861,1.4073476791381836,0.0003,0.2079845666885376,0.08717517554759979,0.15312500298023224,1.0338490009307861,nan,1.4032821655273438
21,0.20503266155719757,0.08442148566246033,0.17822265625,1.0292686223983765,1.3987126350402832,0.0003,0.20381200313568115,0.08445386588573456,0.16240234673023224,1.004028081893921,nan,1.3720165491104126
22,0.19911864399909973,0.07952215522527695,0.1669921875,0.987954318523407,1.3532353639602661,0.0003,0.20293864607810974,0.0829271450638771,0.17021484673023224,1.0202802419662476,nan,1.3826096057891846
23,0.20469292998313904,0.08403675258159637,0.16838379204273224,1.0228087902069092,1.3922972679138184,0.0003,0.20605306327342987,0.08590690046548843,0.15166015923023224,1.005341649055481,nan,1.3773261308670044
24,0.20806977152824402,0.08694155514240265,0.17082519829273224,1.0400499105453491,1.4107577800750732,0.0003,0.20051059126853943,0.081658273935318,0.15488281846046448,0.9886248707771301,nan,1.3537722826004028
25,0.20078036189079285,0.08088067173957825,0.16779784858226776,1.0036046504974365,1.368699073791504,0.0003,0.21447989344596863,0.09303288161754608,0.18017578125,1.0862370729446411,nan,1.4583866596221924
26,0.2006257325410843,0.08073960989713669,0.16542968153953552,0.9972756505012512,1.3650691509246826,0.0003,0.19710209965705872,0.07895147800445557,0.158203125,0.9619167447090149,nan,1.3245835304260254
27,0.19775335490703583,0.0784139409661293,0.16755370795726776,0.9830832481384277,1.347817301750183,0.0003,0.19785162806510925,0.07913850247859955,0.16943359375,0.9674070477485657,nan,1.331667184829712
28,0.19537071883678436,0.07653819769620895,0.15903320908546448,0.9585811495780945,1.3216698169708252,0.0003,0.1946793645620346,0.07644104957580566,0.15781250596046448,0.9515494108200073,nan,1.3135483264923096
29,0.19772012531757355,0.07839664816856384,0.172119140625,0.9832671284675598,1.3475394248962402,0.0003,0.20643357932567596,0.08619748055934906,0.1435546875,1.0085026025772095,4.271499043700656,1.3844355344772339
30,0.2005331963300705,0.08062837272882462,0.1593017578125,0.9885038137435913,1.3560153245925903,0.0003,0.20717379450798035,0.08700723946094513,0.13115234673023224,1.0084559917449951,nan,1.3844019174575806
31,0.20050649344921112,0.0805976465344429,0.15578612685203552,0.9874252080917358,1.35603928565979,0.0003,0.20268182456493378,0.08297647535800934,0.17822265625,1.0106537342071533,nan,1.3775453567504883
32,0.19900870323181152,0.07940617948770523,0.16604003310203552,0.9919561147689819,1.3593722581863403,0.0003,0.2005394995212555,0.08101250976324081,0.17128905653953552,0.9925459027290344,nan,1.3551408052444458
33,0.19520755112171173,0.07638558000326157,0.16428223252296448,0.962390124797821,1.3256245851516724,0.0003,0.19509008526802063,0.07682903110980988,0.1728515625,0.9538687467575073,nan,1.3174207210540771
34,0.19343265891075134,0.07495097815990448,0.16071777045726776,0.9457533955574036,1.3079050779342651,0.0003,0.19545075297355652,0.07732248306274414,0.15390625596046448,0.9442645907402039,nan,1.3097429275512695
35,0.1947557032108307,0.07602643966674805,0.15754394233226776,0.9567516446113586,1.3213447332382202,0.0003,0.19643695652484894,0.07814039289951324,0.15371093153953552,0.955405056476593,nan,1.319787621498108
