epoch,cd_p_metric,cd_t_metric,clump_metric,dcd_metric,loss,lr,val_cd_p_metric,val_cd_t_metric,val_clump_metric,val_dcd_metric,val_loss
0,0.7749253511428833,1.4311078786849976,0.591235339641571,1.9140949249267578,1.4551199674606323,6e-05,0.5005811452865601,0.5231012105941772,0.78759765625,1.9066340923309326,0.5602388978004456
1,0.7283881902694702,1.1799099445343018,0.52001953125,1.8897578716278076,1.1954020261764526,0.00012,0.6058130264282227,0.7428248524665833,0.617382824420929,1.8890892267227173,0.7621285915374756
2,0.6401009559631348,0.8842748403549194,0.5535888671875,1.8704605102539062,0.9010648727416992,0.00018,0.6711615324020386,0.9562941789627075,0.500683605670929,1.8388265371322632,0.9714229702949524
3,0.5453417897224426,0.6229417324066162,0.612622082233429,1.8361051082611084,0.6460078358650208,0.00024,0.574842095375061,0.6665275692939758,0.619433581829071,1.8842899799346924,0.6822945475578308
4,0.43818721175193787,0.40551504492759705,0.565112292766571,1.737701654434204,0.4231127202510834,0.0003,0.38210612535476685,0.2947154939174652,0.5443359613418579,1.6865075826644897,0.311521977186203
5,0.32909485697746277,0.22103175520896912,0.38068848848342896,1.5279573202133179,0.22864416241645813,0.0003,0.27726906538009644,0.15588125586509705,0.3545898497104645,1.461150884628296,0.1621001660823822
6,0.25253206491470337,0.13031642138957977,0.19206543266773224,1.287917137145996,0.13293661177158356,0.0003,0.22052159905433655,0.09791155159473419,0.11728515475988388,1.1243013143539429,0.09929844737052917
7,0.21625208854675293,0.09437581896781921,0.09763183444738388,1.092555284500122,0.09526278078556061,0.0003,0.21101215481758118,0.08979006111621857,0.07304687798023224,1.041142225265503,0.09021437913179398
8,0.22618119418621063,0.1041395515203476,0.09077148139476776,1.1141244173049927,0.10495370626449585,0.0003,0.24534130096435547,0.12131903320550919,0.13837890326976776,1.2363603115081787,0.12327562272548676
9,0.21690014004707336,0.09515774995088577,0.07412109524011612,1.06763756275177,0.09591086953878403,0.0003,0.20423249900341034,0.08384398370981216,0.05615234375,0.9987987279891968,0.08420948684215546
10,0.20177152752876282,0.08198199421167374,0.05361328274011612,0.983433723449707,0.08225858956575394,0.0003,0.20535409450531006,0.08471204340457916,0.0556640625,1.0257245302200317,0.08505095541477203
11,0.2015153169631958,0.08174853026866913,0.05344238132238388,0.9855192303657532,0.08203356713056564,0.0003,0.21959185600280762,0.09670360386371613,0.06787109375,1.106636881828308,0.0972442626953125
12,0.20229005813598633,0.08241726458072662,0.05363769456744194,0.9858172535896301,0.08275243639945984,0.0003,0.19789740443229675,0.07867468893527985,0.04990234225988388,0.9601424336433411,0.078929603099823
13,0.20218424499034882,0.08240142464637756,0.04567871242761612,0.9826990962028503,0.08268561959266663,0.0003,0.21682694554328918,0.09434060752391815,0.07236327975988388,1.0890859365463257,0.09475088119506836
14,0.21103480458259583,0.08968834578990936,0.05783691257238388,1.0344479084014893,0.09012023359537125,0.0003,0.20558543503284454,0.08473875373601913,0.06093750149011612,1.0113602876663208,0.08530078828334808
15,0.20827515423297882,0.08753326535224915,0.05891113355755806,1.0177935361862183,0.0879267081618309,0.0003,0.20433413982391357,0.08400575816631317,0.04638671875,0.9906495809555054,0.08433577418327332
16,0.20493903756141663,0.08466796576976776,0.04843749850988388,0.9946804046630859,0.08499566465616226,0.0003,0.2043207585811615,0.08375698328018188,0.05546874925494194,1.0098774433135986,0.08415776491165161
17,0.20071813464164734,0.08123721182346344,0.04328613355755806,0.9617006182670593,0.0814657136797905,0.0003,0.19835488498210907,0.07897242158651352,0.03486328199505806,0.9515487551689148,0.07916080206632614
18,0.20149171352386475,0.08158384263515472,0.04567871242761612,0.9766372442245483,0.08188634365797043,0.0003,0.20386548340320587,0.08330690860748291,0.05263672024011612,1.0240652561187744,0.08366651833057404
19,0.19776394963264465,0.07859860360622406,0.05854492262005806,0.9537194967269897,0.07898513972759247,0.0003,0.19625549018383026,0.07734725624322891,0.03681640699505806,0.9376575350761414,0.07758501172065735
20,0.1986212134361267,0.07923750579357147,0.04628906399011612,0.9592821002006531,0.07955855876207352,0.0003,0.2050771266222,0.08437842130661011,0.060546875,1.0285464525222778,0.08484767377376556
21,0.19822388887405396,0.07907469570636749,0.04777831956744194,0.9493104815483093,0.07939886301755905,0.0003,0.1996878981590271,0.07991081476211548,0.05888671800494194,0.9728761911392212,0.08032728731632233
22,0.19705985486507416,0.07831384241580963,0.04719238355755806,0.9359380602836609,0.07861845195293427,0.0003,0.21480953693389893,0.09272401034832001,0.07207031548023224,1.0869636535644531,0.09330827742815018
23,0.20409941673278809,0.08404747396707535,0.056396484375,0.9802714586257935,0.08450059592723846,0.0003,0.202190563082695,0.08205722272396088,0.06611327826976776,0.9900588989257812,0.08246763050556183
24,0.19794079661369324,0.07877494394779205,0.051025390625,0.9475120306015015,0.07913652807474136,0.0003,0.19509778916835785,0.07636846601963043,0.05810546875,0.9294816851615906,0.07672761380672455
25,0.19272516667842865,0.07453213632106781,0.04353027418255806,0.908578097820282,0.07482526451349258,0.0003,0.19764474034309387,0.07846952229738235,0.0390625,0.9401788711547852,0.07868058979511261
26,0.19373641908168793,0.07532521337270737,0.04511718824505806,0.9156678318977356,0.07560599595308304,0.0003,0.19426068663597107,0.0756402462720871,0.04453124850988388,0.9347087740898132,0.07593200355768204
27,0.19926558434963226,0.07982409000396729,0.0545654296875,0.9537674188613892,0.08023715764284134,0.0003,0.21109290421009064,0.08962573856115341,0.04707031324505806,1.0242350101470947,0.08999563753604889
28,0.20427699387073517,0.08401625603437424,0.05209960788488388,0.980341911315918,0.08441273123025894,0.0003,0.1996128112077713,0.08007216453552246,0.06621094048023224,0.9682804346084595,0.08052858710289001
29,0.19567492604255676,0.07677262276411057,0.05522460862994194,0.931530773639679,0.0771564468741417,0.0003,0.19636233150959015,0.07724456489086151,0.0478515625,0.9576878547668457,0.07764852046966553
30,0.19485758244991302,0.07620842754840851,0.05251464992761612,0.9254856109619141,0.07657347619533539,0.0003,0.1966278851032257,0.0774477869272232,0.05341796949505806,0.9530172348022461,0.07778311520814896
31,0.19374224543571472,0.07525566220283508,0.0535888671875,0.9175177812576294,0.07563050091266632,0.0003,0.19772869348526,0.07833273708820343,0.06435547024011612,0.9739068150520325,0.07883064448833466
32,0.19140227138996124,0.07342611998319626,0.05185546725988388,0.8978313207626343,0.07379589974880219,0.0003,0.19105038046836853,0.07319323718547821,0.04248046875,0.8999587297439575,0.07350845634937286
33,0.19555988907814026,0.07677212357521057,0.05251464992761612,0.9326616525650024,0.0771484225988388,0.0003,0.19426648318767548,0.07586783170700073,0.04960937425494194,0.904880702495575,0.07629897445440292
34,0.1912015676498413,0.0732528418302536,0.04555664211511612,0.8952873945236206,0.07359269261360168,0.0003,0.20124590396881104,0.08137769997119904,0.04726562649011612,0.963110625743866,0.08171015977859497
