epoch,cd_p_metric,cd_t_metric,clump_metric,dcd_metric,loss,lr,val_cd_p_metric,val_cd_t_metric,val_clump_metric,val_dcd_metric,val_loss
0,0.8622370958328247,1.7185207605361938,0.5318847894668579,1.9199931621551514,1.7383975982666016,6e-05,0.9355030059814453,1.7505762577056885,0.5772460699081421,1.9791793823242188,1.7665287256240845
1,0.6023075580596924,0.7798013091087341,0.598095715045929,1.8594515323638916,0.7991406321525574,0.00012,0.6260930895805359,0.7883516550064087,0.6649414300918579,1.8972715139389038,0.8082219958305359
2,0.5738357901573181,0.6858217716217041,0.6536620855331421,1.8725855350494385,0.7116221189498901,0.00018,0.4597572386264801,0.4521256387233734,0.857226550579071,1.8713611364364624,0.5156713724136353
3,0.4618881344795227,0.4472618103027344,0.580761730670929,1.766627311706543,0.46865230798721313,0.00024,0.31453821063041687,0.20438238978385925,0.5858398675918579,1.569173812866211,0.2243029624223709
4,0.3390263020992279,0.2352685183286667,0.4525146484375,1.5441771745681763,0.24578876793384552,0.0003,0.3875495195388794,0.3036655783653259,0.5215820074081421,1.6708652973175049,0.3136451840400696
5,0.3131088316440582,0.20068833231925964,0.39494627714157104,1.4774225950241089,0.20872719585895538,0.0003,0.27936214208602905,0.1574920415878296,0.35400390625,1.4009902477264404,0.16392163932323456
6,0.2786153554916382,0.1583334505558014,0.2942871153354645,1.3659483194351196,0.16333594918251038,0.0003,0.25990182161331177,0.13577429950237274,0.24531249701976776,1.2962197065353394,0.1394251137971878
7,0.2505578398704529,0.12695801258087158,0.23249511420726776,1.2520357370376587,0.13044199347496033,0.0003,0.2583802342414856,0.13397710025310516,0.17304687201976776,1.223449945449829,0.1361505091190338
8,0.254387229681015,0.13062402606010437,0.21142578125,1.2630826234817505,0.13380208611488342,0.0003,0.25439104437828064,0.13074930012226105,0.23310546576976776,1.299686074256897,0.13403108716011047
9,0.2361385077238083,0.11234178394079208,0.16716308891773224,1.1926753520965576,0.11454986035823822,0.0003,0.24718603491783142,0.12317309528589249,0.12255859375,1.1777206659317017,0.12469308078289032
10,0.22416193783283234,0.10159403085708618,0.15158692002296448,1.1253817081451416,0.10353879630565643,0.0003,0.21609389781951904,0.09368796646595001,0.15390625596046448,1.1047017574310303,0.09574156999588013
11,0.2168995440006256,0.0948062315583229,0.13103027641773224,1.0811158418655396,0.09640978276729584,0.0003,0.21890456974506378,0.09640032052993774,0.14990234375,1.0983604192733765,0.09860582649707794
12,0.2266719788312912,0.10376504808664322,0.14133301377296448,1.114812970161438,0.10551128536462784,0.0003,0.2172953337430954,0.09490613639354706,0.12617187201976776,1.0738900899887085,0.09638029336929321
13,0.21638259291648865,0.0943172350525856,0.1392822265625,1.0789377689361572,0.09603898227214813,0.0003,0.2119380533695221,0.09030990302562714,0.13369140028953552,1.0420506000518799,0.09201860427856445
14,0.20911316573619843,0.08806188404560089,0.1337890625,1.0341559648513794,0.08959952741861343,0.0003,0.20477859675884247,0.0841011255979538,0.12724609673023224,1.034393548965454,0.08561135083436966
15,0.2080347239971161,0.08716283738613129,0.11350097507238388,1.0140498876571655,0.08843356370925903,0.0003,0.2025369107723236,0.08238764852285385,0.09599609673023224,0.9776773452758789,0.08367033302783966
16,0.21584859490394592,0.09409249573945999,0.1072998046875,1.0524847507476807,0.09536800533533096,0.0003,0.21572205424308777,0.09363135695457458,0.11191406100988388,1.080000877380371,0.094822958111763
17,0.20711393654346466,0.08655843883752823,0.10532226413488388,1.0134966373443604,0.0877159908413887,0.0003,0.20216023921966553,0.08206761628389359,0.10849609225988388,0.9906864166259766,0.08313286304473877
18,0.20923273265361786,0.08824487030506134,0.1131591796875,1.028649091720581,0.0895264595746994,0.0003,0.21721228957176208,0.09486869722604752,0.15585938096046448,1.1133081912994385,0.09661707282066345
19,0.20867761969566345,0.08765850961208344,0.105224609375,1.0205434560775757,0.0888039618730545,0.0003,0.21263185143470764,0.09091664850711823,0.091796875,1.0265109539031982,0.09170801937580109
20,0.20406723022460938,0.08370257914066315,0.10148926079273224,0.9925486445426941,0.08480039983987808,0.0003,0.2095598727464676,0.08807475864887238,0.13037109375,1.0394132137298584,0.0896233469247818
21,0.20411281287670135,0.0836930125951767,0.09340820461511612,0.9874411821365356,0.08470188081264496,0.0003,0.2050970047712326,0.08434216678142548,0.10527344048023224,1.017134189605713,0.08529990166425705
22,0.21174529194831848,0.09051777422428131,0.09968261420726776,1.0325677394866943,0.09160777926445007,0.0003,0.21287870407104492,0.09117081016302109,0.10361327975988388,1.0787720680236816,0.09216775745153427
23,0.2071267068386078,0.08636943995952606,0.10959472507238388,1.0068161487579346,0.08751626312732697,0.0003,0.2025289088487625,0.08226513117551804,0.1083984375,0.9905807375907898,0.08326590806245804
24,0.20448732376098633,0.08410169184207916,0.09904785454273224,0.9918349981307983,0.08511804789304733,0.0003,0.21879272162914276,0.09613774716854095,0.10732422024011612,1.106292724609375,0.09724979102611542
25,0.2083018571138382,0.08714793622493744,0.10258789360523224,1.0196080207824707,0.08829895406961441,0.0003,0.2221904695034027,0.09945224970579147,0.09306640923023224,1.0644407272338867,0.10043521970510483
26,0.20728424191474915,0.08645839244127274,0.103759765625,1.0040264129638672,0.08760854601860046,0.0003,0.20557813346385956,0.08481229841709137,0.11630859225988388,1.0213210582733154,0.08589288592338562
27,0.20645666122436523,0.08569604903459549,0.0953369140625,1.003118634223938,0.08674441277980804,0.0003,0.20739464461803436,0.0862332433462143,0.09804687649011612,1.0122992992401123,0.08714250475168228
28,0.20026668906211853,0.08053966611623764,0.0751953125,0.957668662071228,0.08120890706777573,0.00015,0.19967934489250183,0.07994526624679565,0.08505859225988388,0.9604843854904175,0.08069059997797012
29,0.19972005486488342,0.08011119067668915,0.06887207180261612,0.9609950184822083,0.08064888417720795,0.00015,0.19908683001995087,0.07960562407970428,0.04638671875,0.9505913853645325,0.07988967001438141
30,0.1946079432964325,0.07598800957202911,0.04736328125,0.9182068109512329,0.07633738964796066,0.00015,0.1968727558851242,0.07771287113428116,0.0478515625,0.9430721998214722,0.07808121293783188
31,0.1955290138721466,0.07681179791688919,0.04396972805261612,0.9259871244430542,0.0771619975566864,0.00015,0.19495999813079834,0.07623092830181122,0.03388671949505806,0.9224262237548828,0.07646448910236359
32,0.19152605533599854,0.07360758632421494,0.03498535230755806,0.8902101516723633,0.0738547071814537,0.00015,0.19296057522296906,0.0746161937713623,0.03173828125,0.9149023294448853,0.07484883815050125
33,0.19238467514514923,0.07420697808265686,0.04411621019244194,0.9022504091262817,0.07454103231430054,0.00015,0.19614151120185852,0.07708510011434555,0.04990234225988388,0.9357017278671265,0.07741569727659225
34,0.19121548533439636,0.07334911823272705,0.04096679762005806,0.8937749862670898,0.07364939153194427,0.00015,0.19249244034290314,0.07427283376455307,0.04638671875,0.9118232727050781,0.07469259202480316
35,0.19268126785755157,0.07444503903388977,0.04892577975988388,0.9044367074966431,0.07483876496553421,0.00015,0.19521236419677734,0.07636427134275436,0.06875000149011612,0.9352277517318726,0.0769830122590065
36,0.19142547249794006,0.07346698641777039,0.05009765550494194,0.8950689435005188,0.07389603555202484,0.00015,0.19276002049446106,0.07444635778665543,0.06582031399011612,0.9269304275512695,0.07498201727867126
37,0.18987569212913513,0.07228131592273712,0.05356445163488388,0.8856302499771118,0.0726998969912529,0.00015,0.19264118373394012,0.07438766211271286,0.05595703050494194,0.9211389422416687,0.07489236444234848
38,0.18911661207675934,0.07168032228946686,0.0511474609375,0.8825419545173645,0.07211004197597504,0.00015,0.19230981171131134,0.07411934435367584,0.04931640625,0.9089149236679077,0.07454212009906769
