epoch,cd_p_metric,cd_t_metric,clump_metric,dcd_metric,loss,lr,val_cd_p_metric,val_cd_t_metric,val_clump_metric,val_dcd_metric,val_defect_cov_mm,val_loss
0,0.7848512530326843,1.476308822631836,0.514086902141571,1.9063141345977783,1.4933598041534424,6e-05,0.6171556711196899,0.7639641761779785,0.715527355670929,1.9074299335479736,32.072368284193374,0.7902716398239136
1,0.5601931214332581,0.6525512933731079,0.5155273675918579,1.8429734706878662,0.6660199165344238,0.00012,0.5494745373725891,0.6051117777824402,0.49140626192092896,1.8133207559585571,nan,0.617813229560852
2,0.572884202003479,0.6919353604316711,0.5313720703125,1.8273522853851318,0.7074216604232788,0.00018,0.5365390777587891,0.5774426460266113,0.6786133050918579,1.8224834203720093,nan,0.6081472635269165
3,0.5634322762489319,0.6665137410163879,0.690502941608429,1.8551782369613647,0.6960204243659973,0.00024,0.4493505358695984,0.4080606997013092,0.7235351800918579,1.8077179193496704,nan,0.43477973341941833
4,0.3929954171180725,0.3231358230113983,0.5735839605331421,1.6847728490829468,0.3395428955554962,0.0003,0.37471383810043335,0.285566121339798,0.62744140625,1.71770441532135,nan,0.30329760909080505
5,0.3160606026649475,0.20443861186504364,0.451416015625,1.548892855644226,0.21387596428394318,0.0003,0.2764338552951813,0.1545037180185318,0.3768554627895355,1.4349552392959595,nan,0.16185954213142395
6,0.2744354009628296,0.15314117074012756,0.29838865995407104,1.3895084857940674,0.1581018567085266,0.0003,0.25193116068840027,0.12763187289237976,0.20234374701976776,1.3096157312393188,nan,0.1309622824192047
7,0.24743697047233582,0.12357152998447418,0.20859375596046448,1.256171703338623,0.12656228244304657,0.0003,0.2296765148639679,0.10575330257415771,0.19658203423023224,1.1737728118896484,nan,0.1085582748055458
8,0.23856444656848907,0.11455921083688736,0.19606932997703552,1.212754249572754,0.11739850044250488,0.0003,0.23017831146717072,0.10631139576435089,0.18437500298023224,1.1984941959381104,nan,0.10923464596271515
9,0.23490557074546814,0.11142560094594955,0.17255859076976776,1.187841534614563,0.11383576691150665,0.0003,0.2375023365020752,0.11379442363977432,0.17236328125,1.213229775428772,7.119029778641995,0.11614211648702621
10,0.23277516663074493,0.10936254262924194,0.14663085341453552,1.1590425968170166,0.11133866012096405,0.0003,0.22466830909252167,0.10156378895044327,0.16337890923023224,1.145280122756958,nan,0.1034720316529274
11,0.22339382767677307,0.10068287700414658,0.130126953125,1.1135027408599854,0.10227318108081818,0.0003,0.2124316692352295,0.09056913107633591,0.12919922173023224,1.0669796466827393,nan,0.09210233390331268
12,0.2163230925798416,0.09416698664426804,0.11843261867761612,1.0804651975631714,0.09561268985271454,0.0003,0.21260640025138855,0.09068311750888824,0.11904297024011612,1.0934633016586304,nan,0.09203791618347168
13,0.2126965969800949,0.0910860002040863,0.12607422471046448,1.0592269897460938,0.09242923557758331,0.0003,0.21014344692230225,0.0887654572725296,0.10800781100988388,1.0310697555541992,nan,0.08999226987361908
14,0.20960502326488495,0.08850184082984924,0.10725097358226776,1.035102367401123,0.08972923457622528,0.0003,0.20827412605285645,0.08695477247238159,0.10283203423023224,1.0468183755874634,nan,0.08807958662509918
15,0.21065469086170197,0.08940025418996811,0.10908202826976776,1.0341260433197021,0.09061386436223984,0.0003,0.20261216163635254,0.08241293579339981,0.0888671875,0.9852919578552246,nan,0.08324911445379257
16,0.21336933970451355,0.0919358879327774,0.10292968899011612,1.0507194995880127,0.09305491298437119,0.0003,0.21742181479930878,0.09519876539707184,0.07294921576976776,1.0713002681732178,nan,0.09608618170022964
17,0.2040032595396042,0.08389819413423538,0.10112304985523224,0.9930040240287781,0.08495133370161057,0.0003,0.2021448165178299,0.08196429908275604,0.08974609524011612,0.9897119402885437,nan,0.08290676027536392
18,0.21178729832172394,0.09051786363124847,0.1072998046875,1.0436298847198486,0.091685451567173,0.0003,0.2108258754014969,0.08907511085271835,0.11318359524011612,1.0686180591583252,nan,0.0902801901102066
19,0.2099844515323639,0.08871769905090332,0.09821777045726776,1.03446364402771,0.08985167741775513,0.0003,0.20334286987781525,0.0828511193394661,0.11552734673023224,1.0125577449798584,4.6599812263943114,0.08404521644115448
20,0.20921719074249268,0.08800464123487473,0.101806640625,1.0281966924667358,0.08908481895923615,0.0003,0.2034849226474762,0.08298328518867493,0.08779297024011612,0.9996129274368286,nan,0.08398367464542389
21,0.21086308360099792,0.08955872803926468,0.0958251953125,1.0338717699050903,0.09060855209827423,0.0003,0.2178688943386078,0.0953529104590416,0.12265624850988388,1.1112219095230103,nan,0.09667644649744034
22,0.2146543711423874,0.09324911236763,0.10625000298023224,1.0538634061813354,0.09449658542871475,0.0003,0.24499645829200745,0.12111862003803253,0.15576171875,1.2388124465942383,nan,0.12314746528863907
23,0.21647481620311737,0.09449480473995209,0.11264648288488388,1.0680593252182007,0.09586824476718903,0.0003,0.2102125585079193,0.0886508971452713,0.11943359673023224,1.0494358539581299,nan,0.090064637362957
24,0.21081224083900452,0.08925347030162811,0.11198730766773224,1.0397135019302368,0.09060986340045929,0.0003,0.21377702057361603,0.0916752964258194,0.12890625,1.0803592205047607,nan,0.09333427995443344
