epoch,cd_p_metric,cd_t_metric,clump_metric,dcd_metric,loss,lr,val_cd_p_metric,val_cd_t_metric,val_clump_metric,val_dcd_metric,val_defect_cov_mm,val_loss
0,0.862637996673584,1.729905128479004,0.587329089641571,1.9345794916152954,1.729905128479004,6e-05,0.49690523743629456,0.4951075613498688,0.560742199420929,1.830488920211792,11.507977740013251,0.4951075613498688
1,0.5787744522094727,0.6949490308761597,0.6048583984375,1.8671013116836548,0.6949490308761597,0.00012,0.450273334980011,0.4158394932746887,0.7325195074081421,1.8161284923553467,nan,0.4158394932746887
2,0.5404633283615112,0.6102227568626404,0.605029284954071,1.8377411365509033,0.6102227568626404,0.00018,0.4201276898384094,0.38036036491394043,0.831250011920929,1.8560268878936768,nan,0.38036036491394043
3,0.5430535674095154,0.6299041509628296,0.74951171875,1.8757575750350952,0.6299041509628296,0.00024,0.5668870210647583,0.6793934106826782,0.4405273497104645,1.7565257549285889,nan,0.6793934106826782
4,0.47911015152931213,0.4958900511264801,0.7530761957168579,1.8403161764144897,0.4958900511264801,0.0003,0.4040735363960266,0.3386786878108978,0.798144519329071,1.8388077020645142,nan,0.3386786878108978
5,0.3306538462638855,0.22996553778648376,0.707763671875,1.688077688217163,0.22996553778648376,0.0003,0.2811133861541748,0.16595646739006042,0.744921863079071,1.6878376007080078,nan,0.16595646739006042
6,0.2689398229122162,0.14949125051498413,0.6214843988418579,1.5616509914398193,0.14949125051498413,0.0003,0.2872687876224518,0.16958758234977722,0.625195324420929,1.5780502557754517,nan,0.16958758234977722
7,0.24662034213542938,0.12395455688238144,0.5445801019668579,1.453455924987793,0.12395455688238144,0.0003,0.23823294043540955,0.11478908360004425,0.504589855670929,1.4004404544830322,nan,0.11478908360004425
8,0.23773208260536194,0.11440140008926392,0.4676513671875,1.3781473636627197,0.11440140008926392,0.0003,0.25686532258987427,0.13327427208423615,0.4605468809604645,1.4435101747512817,nan,0.13327427208423615
9,0.2208067625761032,0.09835561364889145,0.42729490995407104,1.2931885719299316,0.09835561364889145,0.0003,0.24157682061195374,0.1178572028875351,0.4291015565395355,1.3952662944793701,9.761798543227027,0.1178572028875351
10,0.2154613435268402,0.09364239871501923,0.3900390565395355,1.2540063858032227,0.09364239871501923,0.0003,0.24116703867912292,0.11728775501251221,0.37617188692092896,1.35219407081604,nan,0.11728775501251221
11,0.21759121119976044,0.09569423645734787,0.37116700410842896,1.2339414358139038,0.09569423645734787,0.0003,0.2262740135192871,0.10300811380147934,0.369140625,1.274407148361206,nan,0.10300811380147934
12,0.21881096065044403,0.09644391387701035,0.3795166015625,1.248461127281189,0.09644391387701035,0.0003,0.20642885565757751,0.0855196863412857,0.34550780057907104,1.162523627281189,nan,0.0855196863412857
13,0.2077188789844513,0.08695055544376373,0.3623046875,1.1797356605529785,0.08695055544376373,0.0003,0.20553436875343323,0.08481061458587646,0.32841795682907104,1.1526283025741577,nan,0.08481061458587646
14,0.21562978625297546,0.09391694515943527,0.3514160215854645,1.2019002437591553,0.09391694515943527,0.0003,0.2116910219192505,0.08996561169624329,0.3506835997104645,1.1768605709075928,nan,0.08996561169624329
15,0.2141920030117035,0.09241476655006409,0.3512939512729645,1.209162712097168,0.09241476655006409,0.0003,0.20753662288188934,0.08646984398365021,0.34306639432907104,1.1603041887283325,nan,0.08646984398365021
16,0.2025991678237915,0.08251045644283295,0.3408447206020355,1.1406848430633545,0.08251045644283295,0.0003,0.20147427916526794,0.08155816793441772,0.30712890625,1.1128489971160889,nan,0.08155816793441772
17,0.20143863558769226,0.08165048807859421,0.3143066465854645,1.1180416345596313,0.08165048807859421,0.0003,0.20610538125038147,0.08531598001718521,0.31220704317092896,1.12971830368042,nan,0.08531598001718521
18,0.20139305293560028,0.08153250813484192,0.3038574159145355,1.1055530309677124,0.08153250813484192,0.0003,0.2055385410785675,0.0848652720451355,0.30009764432907104,1.122151255607605,nan,0.0848652720451355
19,0.20769450068473816,0.08667358756065369,0.3087402284145355,1.1411091089248657,0.08667358756065369,0.0003,0.20588798820972443,0.08500929176807404,0.27958983182907104,1.1128274202346802,4.394786076940677,0.08500929176807404
20,0.20262202620506287,0.08243592083454132,0.3058837950229645,1.1152684688568115,0.08243592083454132,0.0003,0.2093030959367752,0.08799464255571365,0.3101562559604645,1.151659369468689,nan,0.08799464255571365
21,0.20483538508415222,0.08432896435260773,0.30314940214157104,1.1255124807357788,0.08432896435260773,0.0003,0.2015494853258133,0.0814923495054245,0.2803710997104645,1.091819167137146,nan,0.0814923495054245
22,0.202580526471138,0.08242996782064438,0.29570311307907104,1.10592782497406,0.08242996782064438,0.0003,0.21499314904212952,0.0928192138671875,0.3076171875,1.1681544780731201,nan,0.0928192138671875
23,0.2003968507051468,0.08065588772296906,0.2822509706020355,1.0809240341186523,0.08065588772296906,0.0003,0.19771382212638855,0.078451968729496,0.27324217557907104,1.0546607971191406,nan,0.078451968729496
24,0.2024758756160736,0.08231858164072037,0.27607423067092896,1.0954196453094482,0.08231858164072037,0.0003,0.21497730910778046,0.09293176233768463,0.2911132872104645,1.1798856258392334,nan,0.09293176233768463
25,0.20175310969352722,0.08166929334402084,0.2890625,1.0942118167877197,0.08166929334402084,0.0003,0.1970890611410141,0.07793806493282318,0.2901367247104645,1.053896188735962,nan,0.07793806493282318
26,0.19921830296516418,0.07969020307064056,0.28125,1.0786283016204834,0.07969020307064056,0.0003,0.19600307941436768,0.07711520045995712,0.2889648377895355,1.042656660079956,nan,0.07711520045995712
27,0.200836181640625,0.08104067295789719,0.27531737089157104,1.0796642303466797,0.08104067295789719,0.0003,0.19971463084220886,0.07997431606054306,0.24560546875,1.054864525794983,nan,0.07997431606054306
28,0.1975802183151245,0.07840654253959656,0.2710205018520355,1.0514934062957764,0.07840654253959656,0.0003,0.20758847892284393,0.08661027997732162,0.2933593690395355,1.1363346576690674,nan,0.08661027997732162
29,0.19933953881263733,0.07982464134693146,0.27641600370407104,1.0679608583450317,0.07982464134693146,0.0003,0.20020847022533417,0.0804595947265625,0.2779296934604645,1.0783475637435913,4.640654161590045,0.0804595947265625
30,0.1980459988117218,0.07873018085956573,0.2769531309604645,1.0595409870147705,0.07873018085956573,0.0003,0.1992923766374588,0.07973145693540573,0.28789061307907104,1.0757801532745361,nan,0.07973145693540573
31,0.20035338401794434,0.0805990919470787,0.27570801973342896,1.075818657875061,0.0805990919470787,0.0003,0.2014480084180832,0.08146550506353378,0.27558594942092896,1.071929693222046,nan,0.08146550506353378
32,0.1932951807975769,0.0749172568321228,0.2718749940395355,1.0273035764694214,0.0749172568321228,0.0003,0.19370964169502258,0.07526707649230957,0.2669921815395355,1.0191338062286377,nan,0.07526707649230957
33,0.19512668251991272,0.07638601958751678,0.2708984315395355,1.0366575717926025,0.07638601958751678,0.0003,0.2119254767894745,0.09025250375270844,0.27880859375,1.1393710374832153,nan,0.09025250375270844
34,0.2018158733844757,0.08177170902490616,0.2622314393520355,1.080209732055664,0.08177170902490616,0.0003,0.21834895014762878,0.09563109278678894,0.25322264432907104,1.150599479675293,nan,0.09563109278678894
